genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00235,NA,86.67,NA,NA,NA,NA,NA,NA
TA00236,132.65,118.31,NA,1.48,3.32,2.86,NA,NA
TA00237,122.23,81.52,NA,2.85,3.48,3.31,NA,NA
TA00238,138.55,116.73,NA,4.29,-0.38,2.86,NA,NA
TA00239,118.62,103.96,41.67,3.33,2.84,3.34,15.93,34.52
TA00240,120.79,110.05,41.38,1.52,3.15,3.19,15.82,36.16
TA00241,129.25,114.96,NA,5.84,2.58,3.31,NA,NA
TA00242,124.8,98.69,NA,1.35,2.21,3.08,NA,NA
TA00243,132.38,123.89,NA,1.35,2.21,3.08,NA,NA
TA00244,126.07,65.16,NA,1.97,3.48,3.31,NA,NA
TA00245,123.07,60.26,NA,2.6,0.74,4.63,NA,NA
TA00246,127.07,63.26,NA,0.1,0.85,2.86,NA,NA
TA00247,123.65,76.12,NA,1.48,0.85,2.86,NA,NA
TA00248,134.27,109.74,NA,4.85,0.33,2.86,NA,NA
TA00249,139.62,108.1,NA,1.74,0.44,2.63,NA,NA
TA00250,NA,NA,NA,NA,NA,NA,NA,NA
TA00251,126.23,74.39,NA,2.23,0.74,3.08,NA,NA
TA00252,125.91,75.22,NA,2.73,2.85,3.08,NA,NA
TA00253,138.38,123.37,NA,3.48,0.74,2.63,NA,NA
TA00254,NA,70.06,NA,NA,NA,NA,NA,NA
TA00255,136.38,116.39,NA,0.85,2.85,2.86,NA,NA
TA00256,123.56,72.8,37.75,2.24,2.28,3.03,13.76,41.68
TA00257,121.07,80.39,NA,0.1,2.21,3.08,NA,NA
TA00258,124.07,56.52,NA,0.1,2.85,2.86,NA,NA
TA00259,121.91,92.17,NA,0.1,2.11,2.86,NA,NA
TA00260,128.96,63.95,NA,0.1,1.48,2.63,NA,NA
TA00261,NA,NA,NA,NA,NA,NA,NA,NA
TA00262,NA,91.15,NA,NA,NA,NA,NA,NA
TA00263,127.49,73.4,NA,1.97,2.11,2.86,NA,NA
TA00264,122.34,74.06,NA,0.1,2.11,1.94,NA,NA
TA00265,120.91,71.91,NA,0.1,1.37,2.86,NA,NA
