genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA01292,NA,NA,NA,NA,NA,NA,NA,NA
TA01296,NA,NA,NA,NA,NA,NA,NA,NA
TA01297,NA,NA,NA,NA,NA,NA,NA,NA
TA01298,NA,NA,NA,NA,NA,NA,NA,NA
TA01299,NA,NA,NA,NA,NA,NA,NA,NA
TA01300,NA,NA,NA,NA,NA,NA,NA,NA
TA01301,127.4,69.15,36.34,1.67,3.57,2.9,12.27,44.4
TA01302,NA,NA,NA,NA,NA,NA,NA,NA
TA01303,NA,NA,NA,NA,NA,NA,NA,NA
TA01304,127.34,69.67,41.88,1.67,1.7,2.72,12.52,48.75
TA01305,NA,NA,NA,NA,NA,NA,NA,NA
TA01306,NA,NA,NA,NA,NA,NA,NA,NA
TA01307,NA,NA,NA,NA,NA,NA,NA,NA
TA01308,NA,NA,NA,NA,NA,NA,NA,NA
TA01309,NA,NA,NA,NA,NA,NA,NA,NA
TA01310,NA,NA,NA,NA,NA,NA,NA,NA
TA01312,NA,NA,NA,NA,NA,NA,NA,NA
TA01314,NA,NA,NA,NA,NA,NA,NA,NA
TA01315,NA,NA,NA,NA,NA,NA,NA,NA
TA01316,NA,NA,NA,NA,NA,NA,NA,NA
TA01318,NA,NA,NA,NA,NA,NA,NA,NA
TA01319,124.92,68.58,41.82,3.65,2.37,3.66,12.7,45.41
TA01322,137.57,122.12,NA,NA,NA,NA,NA,NA
TA01323,122.36,65.4,43.52,-0.02,0.62,2.5,13.64,59.47
TA01324,121.36,67.09,47.84,-1.13,0.86,NA,13.31,54.76
TA01325,122.87,69.8,44.94,0.13,0.94,1.5,13.39,59.35
TA01335,NA,NA,NA,NA,NA,NA,NA,NA
TA01340,NA,NA,NA,NA,NA,NA,NA,NA
TA01348,NA,NA,NA,NA,NA,NA,NA,NA
TA01353,NA,NA,NA,NA,NA,NA,NA,NA
TA01365,NA,NA,NA,NA,NA,NA,NA,NA
TA02003,121.43,68.96,NA,2.11,2.54,3.29,NA,NA
TA02004,125.79,59.83,NA,1.9,2.24,3.44,NA,NA
TA02012,125.43,62.03,NA,2.94,3.88,4.36,NA,NA
TA02013,NA,NA,NA,NA,NA,NA,NA,NA
TA02014,NA,NA,NA,NA,NA,NA,NA,NA
TA02015,NA,84.38,53.39,NA,1.2,3,16.7,27.36
TA02016,NA,NA,NA,NA,NA,NA,NA,NA
TA02047,NA,NA,NA,NA,NA,NA,NA,NA
TA02048,127.86,94.23,53.1,3.93,0.91,2.93,14.88,51.93
TA02058,125.56,56.31,NA,3.48,2.22,3.29,NA,NA
TA02059,140.86,89.24,34.66,-1.38,0.09,3.04,16.34,27.26
TA02079,NA,NA,NA,NA,NA,NA,NA,NA
TA02080,NA,NA,NA,NA,NA,NA,NA,NA
TA02088,NA,NA,NA,NA,NA,NA,NA,NA
TA02517,131.15,91.8,45.83,0.06,0.19,NA,15.75,46.54
TA02728,124.86,96.67,32.27,-0.69,0.96,3.5,14.27,37.43
TA02930,NA,NA,NA,NA,NA,NA,NA,NA
TA02996,129.22,85.23,42.07,5.03,3.26,NA,16.85,53.67
TA03358,124.39,80.45,47.48,2.57,0.89,3.67,14.77,43.64
TA03408,123.14,78.52,44.37,4.45,1.04,3.04,15.98,45.95
TA03666,131.49,103.68,39.58,-0.23,0.44,2.45,15.74,47.59
TA03667,137.3,98.02,29.34,-1.39,0.09,3.14,16.52,53.46
TA03668,125.99,78.51,31.39,-1.56,0.09,3.33,14.56,72.85
TA03669,140.86,90.5,34.73,-1.21,0.09,3.26,17.19,53.59
TA03670,136.65,100.81,38.54,-0.42,0.32,5.61,17.49,59.01
TA03671,145.74,82.65,30.5,-1.26,0.09,2.93,17.82,55.33
TA03672,134.73,81.72,35.89,-1.21,0.09,3.33,16.27,45.3
TA03673,135.13,86.42,30.5,-0.86,0.09,3.33,16.07,46.53
TA03674,129.51,77.34,29.13,-0.6,0.32,3.76,14.32,41.4
TA03675,135.24,79.25,29.53,-0.86,0.32,3.37,14.12,35.34
TA03676,140.86,96.15,34.11,-0.31,0.09,3.04,15.58,28.41
TA03677,128.86,100.51,40.14,-0.06,0.44,3.72,14.58,52.68
TA03678,143.53,111.72,33.76,-1.39,0.32,3.26,15.43,69.21
TA03679,128.56,106.54,31.93,-1.21,0.58,3.43,13.41,49.88
TA03680,140.93,102.32,36.62,-0.46,0.09,3.04,15.85,41.06
TA03681,140.99,114.03,29.31,-1.15,0.09,2.55,15.95,59.85
TA03682,138.43,105.48,30.1,-1.56,0.09,3.04,16.9,51.99
TA03684,138.24,108.37,29.93,-1.56,0.09,3.54,16.62,47.19
TA03685,137.87,108.59,31.13,-1.56,0.09,3.14,16.7,55.08
TA03686,137.05,104.3,30.4,-1.43,0.09,3.04,16.42,52.45
TA03687,137.78,103.21,32.25,-1.43,0.09,3.14,17.36,58.84
TA03688,134.15,96.22,31.79,-1.31,0.09,2.84,16.63,52.66
TA03689,137.05,108.25,32.28,-1.49,0.09,2.84,16.43,53.91
TA03690,137.87,102.73,32.23,-0.38,0.09,2.74,15.74,60.05
TA04432,120.96,66.19,48.18,0.84,1.35,3.62,18.52,36.14
TA04642,125.94,73.21,NA,1.12,0.87,2.99,NA,NA
TA05020,122.99,78.62,NA,1.38,1.52,2.99,NA,NA
TA05021,126.71,78.49,NA,1.82,1.62,2.94,NA,NA
TA05022,126.17,81.91,47.83,2.66,1.27,2.99,14.42,40.64
TA05023,126.5,76.02,46.53,1.7,1.27,3.06,15.62,44.14
TA05024,127.85,80.43,48.69,4.14,1.13,2.96,15.43,44.75
TA05025,126.36,85.1,46.98,2.86,1.09,2.99,NA,45.14
TA05026,124.93,81.62,48.68,3.7,1.96,3.06,16.97,40.14
TA05027,125.06,77.69,NA,3.14,0.89,2.99,NA,NA
TA05028,125.45,81.58,55.78,2.31,1.63,3.45,17.62,42.14
TA05029,125.66,79,NA,2.16,0.66,3.93,NA,NA
TA05030,126.42,74.74,NA,-0.04,0.66,2.79,NA,NA
TA05031,126.42,76.38,NA,0.95,0.66,2.71,NA,NA
TA05032,125,89.54,NA,3.37,2.37,2.92,NA,NA
TA05033,123.76,81.92,NA,-0.65,0.66,5.74,NA,NA
TA05139,125.42,75.73,NA,1.48,0.91,2.89,NA,NA
TA05257,120.6,74.49,NA,2.91,2.7,3.44,NA,NA
TA05258,121.3,70.38,NA,3.11,3.36,3.51,NA,NA
TA05259,122.43,85.75,NA,2.34,3.46,3.68,NA,NA
TA05260,118.9,66.35,NA,-0.18,4.13,3.58,NA,NA
TA05261,119.55,64.34,NA,1.34,3.48,3.58,NA,NA
TA05262,121.36,68.54,NA,0.04,3.66,3.29,NA,NA
TA05263,119.6,77.25,NA,-0.18,4.49,3.26,NA,NA
TA05264,120.5,67.49,NA,0.6,5.2,4.34,NA,NA
TA05265,118.65,51.56,NA,1.1,3.12,4.26,NA,NA
TA05266,119.95,68.85,NA,0.6,4.84,3.22,NA,NA
TA05269,120.32,49.71,NA,0.08,2.63,3.41,NA,NA
