accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
C0100294,NA,NA,198,50.9,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100294,NA,NA,216,47.8,70.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100294,NA,NA,207,50.1,85.4,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100698,NA,NA,218,51,110,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100702,NA,NA,205,57.8,104,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100702,NA,NA,216,57.8,74.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100707,NA,NA,194,38.2,92,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100707,NA,NA,210,62.2,82.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100707,NA,NA,205,50.2,87.2,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100711,NA,NA,201,53.3,105,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100711,NA,NA,218,56,95,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100711,NA,NA,210,54.6,100,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100960,NA,NA,211,50.2,126,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100960,NA,NA,221,53.1,126,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100960,NA,NA,215,52,115,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100965,NA,NA,207,42.9,83.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0100966,NA,NA,216,50,97,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101045,NA,NA,200,45.8,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101045,NA,NA,214,45.8,91,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101045,NA,NA,207,47.3,96.2,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101154,NA,NA,188,39.7,60,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101162,NA,NA,201,38,138,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101162,NA,NA,215,51.8,110,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101162,NA,NA,211,44.9,124,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101164,NA,NA,202,46.5,81,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101164,NA,NA,215,48.8,86.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101164,NA,NA,208,45.3,75.8,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101165,NA,NA,198,45,78,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101165,NA,NA,213,46.1,73.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101165,NA,NA,208,45.5,75.8,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101166,NA,NA,196,45,92,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101166,NA,NA,213,40.9,77,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101166,NA,NA,207,42.8,84.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101177,NA,NA,202,45.6,75,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101177,NA,NA,217,50.2,52,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101177,NA,NA,208,47.7,63.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101191,NA,NA,193,42.8,126,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101191,NA,NA,212,48.2,89.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101191,NA,NA,202,45,107,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101194,NA,NA,222,37.1,95.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101359,NA,NA,201,45.2,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101359,NA,NA,217,52.4,111.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101359,NA,NA,209,48.2,104,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101374,NA,NA,198,50,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101374,NA,NA,216,56.2,106.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101374,NA,NA,207,53,101.2,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101375,NA,NA,194,48.9,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101375,NA,NA,213,40.4,76.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101375,NA,NA,208,49.9,86.2,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101394,NA,NA,214,43.6,91,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101397,NA,NA,194,44.3,80,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101397,NA,NA,209,50.1,80,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101397,NA,NA,204,47.5,80,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101398,NA,NA,196,48.8,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101398,NA,NA,214,52.6,82,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101398,NA,NA,206,51,110,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101401,NA,NA,198,43.7,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101401,NA,NA,216,50.9,103,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101401,NA,NA,208,47.8,99.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101410,NA,NA,201,45.7,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101410,NA,NA,220,67.7,75.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101410,NA,NA,206,56.7,84.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101470,NA,NA,215,57.5,70,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101473,NA,NA,190,36.5,83,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101473,NA,NA,206,37.3,54.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101473,NA,NA,204,36.7,68.7,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101521,NA,NA,210,49.3,90,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101553,NA,NA,192,46,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101553,NA,NA,208,50.1,74,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101553,NA,NA,204,52,85.7,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101595,NA,NA,197,44.4,112,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101595,NA,NA,219,55.4,100.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101595,NA,NA,209,49.9,106.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101599,NA,NA,202,43.7,96,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101599,NA,NA,218,33.7,66.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0101599,NA,NA,210,38.9,80,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0102379,NA,NA,195,46.4,95,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0102379,NA,NA,215,55.2,86,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0102379,NA,NA,205,50.3,90.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0102743,NA,NA,193,47.3,78,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0102743,NA,NA,209,45.8,86,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0102743,NA,NA,203,46.5,70.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0103142,NA,NA,191,43.1,78,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0103142,NA,NA,206,45.3,81,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0103142,NA,NA,203,44.5,93,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0103696,NA,NA,197,47.6,98,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0103696,NA,NA,210,49.2,96.6,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0103696,NA,NA,209,48.4,97.3,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0104824,NA,NA,203,48.1,106,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0104824,NA,NA,217,50.8,97.5,ZS313,Triticum aestivum trials Piešťany,1976-1977
C0104824,NA,NA,210,49.3,101.8,ZS313,Triticum aestivum trials Piešťany,1976-1977
