genotype,days_to_heading_BLUE,plant_height_BLUE
C0100933,NA,NA
C0100934,NA,76.63
C0100935,NA,NA
C0100937,NA,NA
C0100938,NA,NA
C0100939,NA,NA
C0100940,NA,NA
C0100941,NA,NA
C0100942,NA,NA
C0100943,NA,NA
C0100944,NA,NA
C0100945,NA,NA
C0100946,NA,NA
C0100948,NA,92.14
C0100950,NA,103.79
C0100951,NA,NA
C0100952,NA,82.38
C0100953,NA,NA
C0100954,NA,NA
C0100956,NA,NA
C0100957,NA,NA
C0100959,NA,100.86
C0100960,231.74,124.56
C0100962,NA,NA
C0100963,NA,NA
C0100965,224.28,90.19
C0100966,225.57,93.57
C0100968,NA,NA
C0100969,220.23,93.08
C0100970,NA,NA
C0100971,NA,NA
C0100972,NA,NA
C0100973,NA,NA
C0100974,NA,NA
C0100975,NA,NA
C0100976,NA,NA
C0100977,NA,NA
C0100980,NA,NA
C0100981,NA,82.54
C0100982,NA,NA
C0100983,NA,NA
C0100984,NA,NA
C0100985,NA,NA
C0100986,NA,NA
C0100987,NA,NA
C0100988,NA,NA
C0100989,NA,NA
C0100990,NA,NA
C0100991,NA,NA
C0100992,NA,NA
C0100994,NA,NA
C0100995,NA,NA
C0100996,NA,NA
C0100997,NA,NA
C0100998,NA,NA
C0100999,NA,NA
C0101000,NA,NA
C0101001,NA,118.89
C0101002,222.4,86.08
C0101003,218.92,85.18
C0101004,NA,NA
C0101006,223.29,80.31
C0101007,NA,NA
C0101008,NA,NA
C0101010,NA,NA
C0101011,NA,NA
C0101012,NA,NA
C0101013,NA,NA
C0101014,NA,NA
C0101015,NA,NA
C0101016,NA,NA
C0101017,NA,99.29
C0101018,NA,107.49
C0101019,NA,NA
C0101020,NA,NA
C0101021,NA,NA
C0101022,NA,NA
C0101023,NA,NA
C0101024,NA,NA
C0101025,NA,NA
C0101026,226.25,70.76
C0101027,NA,NA
C0101028,NA,NA
C0101030,NA,NA
C0101031,232.05,81.05
C0101032,NA,NA
C0101033,NA,NA
C0101034,225.81,97.38
C0101035,NA,NA
C0101036,NA,NA
C0101037,NA,NA
C0101038,NA,NA
C0101039,NA,NA
C0101040,NA,NA
C0101041,NA,NA
C0101042,NA,NA
