accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,date_of_heading,type_of_bush,leaf-flag_attitude,spike_attitude,spike_shape,spike_branching,spike_awnedness,glume_colour,name,description,campaign
2001-TRT-AE-169,NA,10.18730/ZEZXC,143,45.8,70,19850523,5,3,5,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
2001-TRT-AE-172,NA,10.18730/ZBGXC,144,41.5,90.2,19850524,7,3,3,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1984-1985
1974-TRT-AE-52,NA,10.18730/ZBDHF,142,42.9,79.9,19860522,5,3,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1978-TRT-AE-142,NA,10.18730/ZBDFD,142,30.3,78.5,19860522,7,3,5,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1978-TRT-AE-157,NA,10.18730/ZBDGE,143,39.54,81.4,19860523,7,3,3,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1978-TRT-AE-181,NA,10.18730/ZBFZK,142,39.6,84.3,19860522,3,5,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1978-TRT-AE-285,NA,10.18730/ZEYM8,162,36.9,98,19860611,5,1,1,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1979-TRT-AE-270,NA,10.18730/ZEYN9,144,33.1,69.6,19860524,3,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1979-TRT-AE-320,NA,10.18730/ZBGN4,141,40,83.4,19860521,3,3,1,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1980-TRT-AE-189,NA,10.18730/ZEYPA,140,32.6,48,19860520,3,3,7,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1980-TRT-AE-190,NA,10.18730/ZEYQB,140,32.9,45,19860520,5,3,3,3,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1981-TRT-AE-78,NA,10.18730/ZBGWB,142,34.24,86.1,19860522,5,1,5,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1981-TRT-AE-79,NA,10.18730/ZEYRC,144,27.4,74,19860524,5,3,3,1,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1982-TRT-AE-923,NA,10.18730/ZEYSD,136,33.8,84,19860516,7,3,1,3,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-172,NA,10.18730/ZEYWG,153,32.6,110.6,19860602,5,3,7,1,1,5,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-279,NA,10.18730/ZEYXH,149,33.6,119,19860529,5,1,3,3,1,3,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-285,NA,10.18730/ZEYYJ,144,28.3,109.6,19860524,5,3,3,1,1,5,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-288,NA,10.18730/ZEYZK,143,38.7,94,19860523,5,1,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-292,NA,10.18730/ZEZ0M,150,34.7,69.8,19860530,7,3,3,3,1,3,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-294,NA,10.18730/ZEZ1N,152,34.1,123,19860601,5,5,3,3,1,7,8,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-301,NA,10.18730/ZEZ2P,143,39.8,107,19860523,5,1,3,3,1,7,4,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-306,NA,10.18730/ZEZ3Q,161,31.1,82.4,19860610,7,1,3,1,1,1,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
1983-TRT-AE-314,NA,10.18730/ZEZ4R,158,31.2,121.8,19860607,7,1,5,1,1,7,1,Field trial IPGR-Sadovo,Six rows were planted from each accession with row spacing 20/5 cm and 1 m length.,1985-1986
