accenumb,campaign,days_to_heading,thousand_kernel_weight,plant_height
C0101166,1982-1983,224,45.1,85.6
C0101167,1982-1983,219,34.9,81.2
C0101167,1982-1983,220,40.3,66.7
C0101175,1982-1983,225,39.5,78.4
C0101178,1982-1983,224,37.9,77.84
C0101179,1982-1983,219,44.9,77
C0101180,1982-1983,219,36.2,76.6
C0101180,1982-1983,220,36.8,66.7
C0101185,1982-1983,221,44.1,84.6
C0101186,1982-1983,217,40.3,77
C0101189,1982-1983,220,43.3,82.86
C0101191,1982-1983,220,44.7,90.3
C0101193,1982-1983,222,39.2,73.7
C0101194,1982-1983,222,46.6,92.5
C0101201,1982-1983,219,40.1,74.1
C0101217,1982-1983,219,51.3,89.9
C0101219,1982-1983,225,47.1,75.86
C0101223,1982-1983,227,42.1,89.56
C0101251,1982-1983,228,31.7,98.43
C0101292,1982-1983,226,41,80.66
C0101293,1982-1983,226,41.8,82.46
C0101303,1982-1983,220,46.9,77.56
C0101304,1982-1983,225,47.5,81.76
C0101305,1982-1983,224,41.8,80.46
C0101337,1982-1983,219,46.7,76.53
C0101346,1982-1983,220,39.5,83.9
C0101348,1982-1983,221,44.3,73.7
C0101349,1982-1983,221,41.6,81.6
C0101352,1982-1983,221,42.2,87.6
C0101353,1982-1983,219,40.7,68.6
C0101355,1982-1983,224,39.3,83
C0101356,1982-1983,219,41.4,89.6
C0101358,1982-1983,223,48.8,108.2
C0101359,1982-1983,221,49.5,86.53
C0101360,1982-1983,222,46.2,73.8
C0101363,1982-1983,227,43.6,71.23
C0101365,1982-1983,227,49.8,80.16
C0101366,1982-1983,227,40.3,63.6
C0101374,1982-1983,222,45.63,103.4
C0101375,1982-1983,221,48.8,98.26
C0101376,1982-1983,220,43.9,92.53
C0101384,1982-1983,219,41.5,82.66
C0101385,1982-1983,223,40.3,71.3
C0101387,1982-1983,222,44.6,80.03
C0101394,1982-1983,220,34.9,35.5
C0101397,1982-1983,224,44.8,79.36
C0101398,1982-1983,224,45.6,88.43
C0101399,1982-1983,225,47.5,84.06
C0101400,1982-1983,219,42.7,89
C0101401,1982-1983,223,46.6,91.36
C0101402,1982-1983,220,41,80.1
C0101410,1982-1983,222,36.2,78.9
C0101447,1982-1983,227,36.6,75.96
C0101470,1982-1983,219,49.9,83.76
C0101471,1982-1983,226,48.3,97.1
C0101472,1982-1983,219,37.2,75.9
C0101473,1982-1983,219,37.7,77.96
C0101496,1982-1983,221,48.2,91.33
C0101501,1982-1983,219,34.4,78.2
C0101501,1982-1983,219,40.5,78
C0101501,1982-1983,220,36.9,66.9
C0101502,1982-1983,217,39.6,60.26
C0101505,1982-1983,231,46.3,81
C0101508,1982-1983,225,36.5,82.7
C0101509,1982-1983,226,35.3,75.86
C0101510,1982-1983,223,43.4,77.03
C0101512,1982-1983,225,37.3,80.04
C0101513,1982-1983,221,39.7,84.7
C0101534,1982-1983,225,40.5,85.13
C0101536,1982-1983,227,41.3,63.83
C0101550,1982-1983,219,35.8,79.6
C0101550,1982-1983,222,35.1,65
C0101553,1982-1983,220,45.8,73.83
C0101587,1982-1983,225,40.2,79.7
C0101596,1982-1983,226,55.2,75.3
C0101599,1982-1983,219,37.6,76.43
C0101625,1982-1983,228,49.5,74.5
C0101663,1982-1983,219,45.3,82.2
C0101663,1982-1983,226,44.9,76.5
C0101665,1982-1983,222,44.4,83.63
C0101665,1982-1983,228,48,77
C0101665,1982-1983,224,44.5,86.15
C0102739,1982-1983,223,39.3,73.4
C0104915,1982-1983,221,38,74.76
C0100021,1983-1984,225,52,79.65
C0100028,1983-1984,222,46.7,83.78
C0100029,1983-1984,222,49,85.38
C0100185,1983-1984,270,46,92.33
C0100239,1983-1984,227,47.45,85
C0100290,1983-1984,270,40.3,98.67
C0100324,1983-1984,222,52.1,86.38
C0100344,1983-1984,227,45.4,78.4
C0100711,1983-1984,270,56.3,104.67
C0100837,1983-1984,222,45.6,81.9
C0101002,1983-1984,270,45,92
C0101103,1983-1984,231,48.4,99.5
C0101165,1983-1984,270,46.3,93
C0101166,1983-1984,270,45.7,92.67
C0101167,1983-1984,270,41,82.67
C0101167,1983-1984,222,41.7,77.28
C0101175,1983-1984,270,44.7,80.33
C0101179,1983-1984,270,53,96.33
C0101180,1983-1984,273,45,79
C0101180,1983-1984,222,38.7,77.78
C0101192,1983-1984,270,47,86.33
C0101193,1983-1984,270,48.7,82
C0101346,1983-1984,270,47.7,101.67
C0101348,1983-1984,270,51,97
C0101349,1983-1984,270,45,102.33
C0101352,1983-1984,270,39.7,106.67
