genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-6538,NA,NA,NA,NA,NA,NA
CGF-6539,NA,NA,NA,NA,NA,NA
CGF-6540,NA,NA,NA,NA,NA,NA
CGF-6544,NA,NA,NA,NA,NA,NA
CGF-6546,NA,NA,NA,NA,NA,NA
CGF-6547,NA,NA,NA,NA,NA,NA
CGF-6548,NA,NA,NA,NA,NA,NA
CGF-6549,NA,NA,NA,NA,NA,NA
CGF-6552,NA,NA,NA,NA,NA,NA
CGF-6553,NA,NA,NA,NA,NA,NA
CGF-6557,NA,NA,NA,NA,NA,NA
CGF-656,NA,NA,NA,NA,NA,NA
CGF-6560,NA,NA,NA,NA,NA,NA
CGF-6562,NA,NA,NA,NA,NA,NA
CGF-6563,NA,NA,NA,NA,NA,NA
CGF-6564,NA,NA,NA,NA,NA,NA
CGF-6565,NA,NA,NA,NA,NA,NA
CGF-6566,NA,NA,NA,NA,NA,NA
CGF-6567,NA,NA,NA,NA,NA,NA
CGF-6569,NA,NA,NA,NA,NA,NA
CGF-657,NA,NA,NA,NA,NA,NA
CGF-6572,NA,NA,NA,NA,NA,NA
CGF-6573,136.42,89.5,568.09,47.07,5409.13,2.76
CGF-6574,139.26,85.4,567.4,44.26,5086.12,2.45
CGF-6582,NA,NA,NA,NA,NA,NA
CGF-6583,NA,NA,NA,NA,NA,NA
CGF-6585,NA,NA,NA,NA,NA,NA
CGF-6586,NA,NA,NA,NA,NA,NA
CGF-6587,NA,NA,NA,NA,NA,NA
CGF-6592,NA,NA,NA,NA,NA,NA
CGF-6593,NA,NA,NA,NA,NA,NA
CGF-6604,NA,NA,NA,NA,NA,NA
CGF-6605,NA,NA,NA,NA,NA,NA
CGF-6606,NA,NA,NA,NA,NA,NA
CGF-6607,NA,NA,NA,NA,NA,NA
CGF-6608,NA,NA,NA,NA,NA,NA
CGF-6610,NA,NA,NA,NA,NA,NA
CGF-6612,NA,NA,NA,NA,NA,NA
CGF-6619,NA,NA,NA,NA,NA,NA
CGF-6621,NA,NA,NA,NA,NA,NA
CGF-6622,NA,NA,NA,NA,NA,NA
CGF-6623,NA,NA,NA,NA,NA,NA
CGF-6646,NA,NA,NA,NA,NA,NA
CGF-6647,NA,NA,NA,NA,NA,NA
CGF-6648,NA,NA,NA,NA,NA,NA
CGF-6649,NA,NA,NA,NA,NA,NA
CGF-6654,136.95,89.07,600.55,44.45,6258.82,3.13
CGF-6655,136.82,88.1,581.9,41.27,5992.09,2.47
