genotype,end_of_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
21542,NA,NA,NA
21543,NA,NA,NA
21545,NA,NA,NA
21546,NA,NA,NA
21547,NA,NA,NA
21548,NA,NA,NA
21549,NA,104.08,43.16
21551,NA,NA,NA
21552,NA,111.04,35.68
21553,NA,NA,NA
21554,NA,NA,NA
21555,NA,118.79,40.42
21556,NA,NA,NA
21557,NA,NA,NA
21558,NA,NA,NA
21559,NA,NA,NA
21560,NA,NA,NA
21561,NA,NA,NA
21562,NA,NA,NA
21564,NA,NA,NA
21565,NA,NA,NA
21566,NA,NA,NA
21567,NA,NA,NA
21568,NA,NA,NA
21569,NA,NA,NA
21570,NA,NA,NA
21571,176.01,107.99,36.99
21572,NA,NA,NA
21573,NA,NA,NA
21574,NA,NA,NA
21575,NA,NA,NA
21576,NA,NA,NA
21577,NA,NA,NA
21578,NA,NA,NA
21579,NA,NA,NA
21580,NA,NA,NA
21581,NA,NA,NA
21583,NA,NA,NA
21584,NA,104.85,39.27
21585,NA,NA,NA
21586,NA,124.99,36.74
21587,NA,NA,NA
21588,NA,NA,NA
21592,NA,NA,NA
21594,172.7,116.49,44.71
21595,NA,NA,NA
21596,NA,NA,NA
21597,169.32,108.87,38.6
21598,NA,NA,NA
21599,NA,NA,NA
21600,NA,NA,NA
21601,NA,NA,NA
21602,173.82,103.37,28.8
21603,NA,NA,NA
21604,NA,NA,NA
21605,NA,NA,NA
21609,NA,NA,NA
21611,170.34,89.74,29.64
21612,NA,NA,NA
21613,NA,NA,NA
21614,NA,NA,NA
21615,NA,NA,NA
21616,NA,NA,NA
21617,NA,NA,NA
21618,NA,NA,NA
21619,NA,NA,NA
21620,NA,NA,NA
21621,NA,NA,NA
21622,NA,NA,NA
21623,NA,NA,NA
21624,NA,NA,NA
21625,NA,NA,NA
21626,NA,NA,NA
21627,NA,NA,NA
21628,NA,NA,NA
21629,NA,99.04,40.18
21631,NA,NA,NA
21632,NA,NA,NA
21633,NA,NA,NA
21634,NA,NA,NA
21635,NA,NA,NA
21636,NA,NA,NA
21637,NA,NA,NA
21640,172.23,92.98,37.71
21642,NA,NA,NA
21650,169.35,90.03,38.71
21653,NA,NA,NA
