experiment_id,instcode,genus,accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,flowering_date,plant_height,thousand_kernel_weight,sowing_beginning_of_heading,sowing_full_heading,sowing_end_of_heading,sowing_flowering,beginning_of_heading_full_heading,beginning_of_heading_end_of_heading,beginning_of_heading_flowering,full_heading_end_of_heading,full_heading_flowering,end_of_heading_flowering,name,description,campaign,site_name,longitude,latitude,remarks,days_to_heading
11001,POL003,Hordeum,40573,NA,NA,19780404,19780617,19780620,NA,NA,95,60.2,74,77,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,170
11001,POL003,Hordeum,40574,NA,NA,19780404,19780622,19780627,NA,NA,95,61.2,79,84,NA,NA,5,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,177
11001,POL003,Hordeum,40575,NA,NA,19780404,19780620,19780623,NA,NA,102,57.7,77,80,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,173
11001,POL003,Hordeum,40576,NA,NA,19780404,19780620,19780623,NA,NA,98,65.1,77,80,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,173
11001,POL003,Hordeum,40577,NA,NA,19780404,19780620,19780622,NA,NA,97,63.2,77,79,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40578,NA,NA,19780404,19780612,19780617,NA,NA,95,58.5,69,74,NA,NA,5,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,167
11001,POL003,Hordeum,40579,NA,NA,19780404,19780619,19780622,NA,NA,94,63,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40581,NA,NA,19780404,19780622,19780626,NA,NA,106,53.3,79,83,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,176
11001,POL003,Hordeum,40582,NA,NA,19780404,19780626,19780630,NA,NA,101,50.8,83,87,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,180
11001,POL003,Hordeum,40583,NA,NA,19780404,19780622,19780626,NA,NA,103,59.2,79,83,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,176
11001,POL003,Hordeum,40584,NA,NA,19780404,19780609,19780612,NA,NA,98,49.6,66,69,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,162
11001,POL003,Hordeum,40585,NA,NA,19780404,19780621,19780624,NA,NA,105,58.5,78,81,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40586,NA,NA,19780404,19780620,19780624,NA,NA,105,59.9,77,81,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40587,NA,NA,19780404,19780619,19780624,NA,NA,94,58.9,76,81,NA,NA,5,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40588,NA,NA,19780404,19780624,19780630,NA,NA,87,57.3,81,87,NA,NA,6,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,180
11001,POL003,Hordeum,40590,NA,NA,19780404,19780619,19780622,NA,NA,103,46.6,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40591,NA,NA,19780404,19780619,19780621,NA,NA,106,51.7,76,78,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,171
11001,POL003,Hordeum,40592,NA,NA,19780404,19780616,19780619,NA,NA,105,69.7,73,76,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,169
11001,POL003,Hordeum,40593,NA,NA,19780404,19780615,19780619,NA,NA,87,51.3,72,76,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,169
11001,POL003,Hordeum,40594,NA,NA,19780404,19780619,19780623,NA,NA,102,55.2,76,80,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,173
11001,POL003,Hordeum,40595,NA,NA,19780404,19780622,19780624,NA,NA,97,54.2,79,81,NA,NA,2,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40596,NA,NA,19780404,19780619,19780622,NA,NA,108,56.3,76,79,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,172
11001,POL003,Hordeum,40597,NA,NA,19780404,19780622,19780625,NA,NA,102,59.9,79,82,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,175
11001,POL003,Hordeum,40598,NA,NA,19780404,19780621,19780624,NA,NA,101,54.9,78,81,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40599,NA,NA,19780404,19780621,19780624,NA,NA,93,55.3,78,81,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,174
11001,POL003,Hordeum,40600,NA,NA,19780404,19780622,19780626,NA,NA,84,48.1,79,83,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,176
11001,POL003,Hordeum,40601,NA,NA,19780404,19780624,19780628,NA,NA,80,49.1,81,85,NA,NA,4,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,178
11001,POL003,Hordeum,40602,NA,NA,19780404,19780702,19780705,NA,NA,92,55,89,92,NA,NA,3,NA,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,NA,NA,NA,185
