accenumb,agent_id,doi,sowing_date,beginning_of_heading_date,date_of_heading,end_of_heading_date,plant_height,thousand_kernel_weight,sowing_-_beginning_of_heading,sowing_-_end_of_heading,sowing_-_end_of_flowering,beginning_of_heading-end_of_heading,beginning_of_heading-end_of_flowering,end_of_heading-end_of_flowering,name,description,campaign,beginning_of_heading,end_of_heading
20015,NA,NA,19780408,NA,NA,19780620,117,35.9,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,146,36.1,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,136,36.2,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,138,36.3,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,105,36.4,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,113,36.7,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,123,37.3,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,112,37.4,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,110,39.9,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,117,40.3,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,127,41.4,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,104,41.5,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,131,42.4,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,134,42.4,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,117,44.9,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,122,47.3,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780620,122,50.5,NA,73,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,170
20015,NA,NA,19780408,NA,NA,19780621,117,31.4,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,120,32.2,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,120,35.2,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,120,35.3,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,126,36.9,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,126,39.1,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,109,39.5,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,143,42.1,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,121,45.9,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780621,123,62.3,NA,74,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,171
20015,NA,NA,19780408,NA,NA,19780622,92,21.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,93,27.8,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,125,30.1,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,128,30.4,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,116,30.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,122,30.7,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,120,31.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,122,31.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,105,31.9,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,128,32.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,118,32.7,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,123,33.3,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,114,33.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,120,33.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,114,33.7,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,124,34.1,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,118,34.3,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,120,34.9,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,137,35,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,116,35.2,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,121,35.2,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,89,35.8,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,78,36.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,83,36.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,118,37.5,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,108,37.6,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,114,37.8,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,115,40,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,122,41.9,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780622,111,43.5,NA,75,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,172
20015,NA,NA,19780408,NA,NA,19780623,126,31.1,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,173
20015,NA,NA,19780408,NA,NA,19780623,103,33.4,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,173
20015,NA,NA,19780408,NA,NA,19780623,127,34.9,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,173
20015,NA,NA,19780408,NA,NA,19780623,138,36.8,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,173
20015,NA,NA,19780408,NA,NA,19780623,116,38.9,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,173
20015,NA,NA,19780408,NA,NA,19780623,140,39.5,NA,76,NA,NA,NA,NA,observation during multiplication,material multiplication and observation,1978-1978,NA,173
