genotype,days_to_heading_BLUE,plant_height_BLUE,plant_density_BLUE,thousand_kernel_weight_BLUE,dry_matter_yield_BLUE,powdery_mildew_BLUE
CGF-6236,NA,NA,NA,NA,NA,NA
CGF-6237,NA,NA,NA,NA,NA,NA
CGF-6238,NA,NA,NA,NA,NA,NA
CGF-6239,NA,NA,NA,NA,NA,NA
CGF-6240,NA,NA,NA,NA,NA,NA
CGF-6243,NA,NA,NA,NA,NA,NA
CGF-6245,NA,NA,NA,NA,NA,NA
CGF-6246,NA,NA,NA,NA,NA,NA
CGF-6247,135.66,84.81,NA,NA,NA,1.34
CGF-6262,NA,NA,NA,NA,NA,NA
CGF-6263,NA,NA,NA,NA,NA,NA
CGF-6264,NA,NA,NA,NA,NA,NA
CGF-6266,NA,NA,NA,NA,NA,NA
CGF-6267,NA,NA,NA,NA,NA,NA
CGF-627,NA,NA,NA,NA,NA,NA
CGF-6277,NA,NA,NA,NA,NA,NA
CGF-6281,NA,NA,NA,NA,NA,NA
CGF-6285,NA,NA,NA,NA,NA,NA
CGF-6288,NA,NA,NA,NA,NA,NA
CGF-6289,NA,NA,NA,NA,NA,NA
CGF-629,NA,NA,NA,NA,NA,NA
CGF-6290,NA,NA,NA,NA,NA,NA
CGF-6291,NA,NA,NA,NA,NA,NA
CGF-6292,NA,NA,NA,NA,NA,NA
CGF-6294,NA,NA,NA,NA,NA,NA
CGF-6295,NA,NA,NA,NA,NA,NA
CGF-6306,NA,NA,NA,NA,NA,NA
CGF-6307,NA,NA,NA,NA,NA,NA
CGF-6308,NA,NA,NA,NA,NA,NA
CGF-6309,NA,NA,NA,NA,NA,NA
CGF-6312,NA,NA,NA,NA,NA,NA
CGF-6317,NA,NA,NA,NA,NA,NA
CGF-6318,NA,NA,NA,NA,NA,NA
CGF-6320,NA,NA,NA,NA,NA,NA
CGF-6321,NA,NA,NA,NA,NA,NA
CGF-6322,NA,NA,NA,NA,NA,NA
CGF-6323,138.11,99.07,NA,NA,3725.32,4.59
CGF-6324,NA,NA,NA,NA,NA,NA
CGF-6325,NA,NA,NA,NA,NA,NA
CGF-6326,NA,NA,NA,NA,NA,NA
CGF-6327,NA,NA,NA,NA,NA,NA
CGF-6328,NA,NA,NA,NA,NA,NA
CGF-6329,NA,NA,NA,NA,NA,NA
CGF-633,NA,NA,NA,NA,NA,NA
CGF-6331,NA,NA,NA,NA,NA,NA
CGF-6332,135.46,89.59,NA,NA,NA,1.25
CGF-6334,NA,NA,NA,NA,NA,NA
CGF-6336,NA,NA,NA,NA,NA,NA
CGF-6337,NA,NA,NA,NA,NA,NA
CGF-6338,NA,NA,NA,NA,NA,NA
CGF-6340,138.22,92.48,607.9,43.14,5609.58,3.45
CGF-6341,NA,NA,NA,NA,NA,NA
CGF-6343,NA,NA,NA,NA,NA,NA
CGF-6346,NA,NA,NA,NA,NA,NA
CGF-6351,NA,NA,NA,NA,NA,NA
CGF-6365,NA,NA,NA,NA,NA,NA
CGF-6366,NA,NA,NA,NA,NA,NA
CGF-6367,NA,NA,NA,NA,NA,NA
CGF-6368,NA,NA,NA,NA,NA,NA
CGF-6369,NA,NA,NA,NA,NA,NA
CGF-6371,NA,NA,NA,NA,NA,NA
CGF-6372,NA,NA,NA,NA,NA,NA
CGF-6376,NA,NA,NA,NA,NA,NA
CGF-6379,NA,NA,NA,NA,NA,NA
CGF-6380,NA,NA,NA,NA,NA,NA
CGF-6384,NA,NA,NA,NA,NA,NA
CGF-6385,NA,NA,NA,NA,NA,NA
CGF-6386,NA,NA,NA,NA,NA,NA
CGF-6393,NA,NA,NA,NA,NA,NA
CGF-6396,NA,NA,NA,NA,NA,NA
CGF-6398,NA,NA,NA,NA,NA,NA
CGF-6399,NA,NA,NA,NA,NA,NA
CGF-640,NA,NA,NA,NA,NA,NA
CGF-6400,NA,NA,NA,NA,NA,NA
CGF-6405,NA,NA,NA,NA,NA,NA
CGF-6406,NA,NA,NA,NA,NA,NA
CGF-6408,NA,NA,NA,NA,NA,NA
CGF-6409,NA,NA,NA,NA,NA,NA
CGF-6421,NA,NA,NA,NA,NA,NA
CGF-6431,136.37,85.22,604.47,43.56,6233.93,1.66
CGF-6434,138.26,87.41,595.52,41.08,5918.2,1.21
CGF-6435,138.11,99.68,518.98,NA,6620.7,1.31
CGF-6436,141.29,90.57,575.55,38.22,5350.63,1.62
CGF-6445,NA,NA,NA,NA,NA,NA
CGF-6456,142.57,93.64,555.19,45.41,6446.93,1.84
CGF-6457,139.8,86.47,NA,34.61,NA,2.91
CGF-6458,140.8,96.05,NA,NA,7179.36,1.17
CGF-6459,NA,NA,NA,NA,NA,NA
CGF-6460,NA,NA,NA,NA,NA,NA
CGF-6461,NA,NA,NA,NA,NA,NA
CGF-6462,NA,NA,NA,NA,NA,NA
CGF-6463,NA,NA,NA,NA,NA,NA
CGF-6465,NA,NA,NA,NA,NA,NA
CGF-6466,NA,NA,NA,NA,NA,NA
CGF-6468,138.67,92.49,539.75,46.05,5088.16,3.53
CGF-6469,139.81,79.41,NA,NA,NA,2.41
CGF-6470,NA,NA,NA,NA,NA,NA
CGF-6471,140.34,90.28,NA,NA,NA,1.97
