genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COPF 2278,NA,NA,NA
COPF 2279,NA,NA,NA
COPF 2280,NA,NA,NA
COPF 2281,NA,NA,NA
COPF 2282,NA,NA,NA
COPF 2283,NA,NA,NA
COPF 2284,NA,NA,NA
COPF 2285,NA,NA,NA
COPF 2286,NA,NA,NA
COPF 2287,NA,NA,NA
COPF 2288,NA,NA,NA
COPF 2289,NA,NA,NA
COPF 2290,NA,NA,NA
COPF 2291,NA,NA,NA
COPF 2292,NA,NA,NA
COPF 2293,NA,NA,NA
COPF 2294,NA,NA,NA
COPF 2295,NA,NA,NA
COPF 2296,NA,NA,NA
COPF 2297,NA,NA,NA
COPF 2298,NA,NA,NA
COPF 2299,NA,NA,NA
COPF 2300,NA,NA,NA
COPF 2301,NA,NA,NA
COPF 2302,NA,NA,NA
COPF 2303,NA,NA,NA
COPF 2304,NA,NA,NA
COPF 2305,NA,NA,NA
COPF 2306,NA,NA,NA
COPF 2307,NA,NA,NA
COPF 2308,NA,NA,NA
COPF 2309,NA,NA,NA
COPF 2310,NA,NA,NA
COPF 2311,NA,NA,NA
COPF 2312,NA,NA,NA
COPF 2313,NA,NA,NA
COPF 2314,153.85,NA,45.14
COPF 2315,153.57,NA,49.45
COPF 2316,150.97,NA,44.54
COPF 2317,NA,NA,NA
COPF 2318,NA,NA,NA
COPF 2319,149.13,88.8,44.31
COPF 2320,NA,NA,NA
COPF 2321,153.6,84.29,39.6
COPF 2322,NA,NA,NA
COPF 2323,NA,NA,NA
COPF 2324,151.26,NA,NA
COPF 2325,153.04,78.8,NA
COPF 2326,NA,NA,NA
COPF 2327,NA,NA,NA
COPF 2328,NA,NA,NA
COPF 2329,NA,NA,NA
COPF 2330,NA,NA,NA
COPF 2331,NA,NA,NA
COPF 2332,NA,NA,NA
COPF 2333,122.75,77.99,40.9
COPF 2334,155.12,87.63,41.71
COPF 2336,155.01,NA,NA
COPF 2337,155.53,88.2,NA
COPF 2338,149.48,80.85,42.01
COPF 2339,148.52,80.55,43.49
COPF 2340,NA,NA,NA
COPF 2341,NA,NA,NA
COPF 2342,153.15,NA,NA
COPF 2343,NA,NA,NA
COPF 2344,NA,NA,NA
COPF 2345,NA,NA,NA
COPF 2346,NA,NA,NA
COPF 2347,NA,NA,NA
COPF 2348,154.84,76.99,NA
COPF 2349,152.84,96.49,NA
COPF 2350,NA,NA,NA
COPF 2351,NA,NA,NA
COPF 2352,NA,NA,NA
COPF 2353,NA,NA,NA
COPF 2354,NA,NA,NA
COPF 2355,NA,NA,NA
COPF 2356,NA,NA,NA
COPF 2357,NA,NA,NA
COPF 2358,NA,NA,NA
COPF 2359,NA,NA,NA
COPF 2360,NA,NA,NA
COPF 2361,NA,NA,NA
COPF 2362,NA,NA,NA
COPF 2363,NA,NA,NA
COPF 2364,NA,NA,NA
COPF 2365,NA,NA,NA
COPF 2366,NA,NA,NA
COPF 2367,NA,NA,NA
COPF 2368,NA,NA,NA
COPF 2369,NA,NA,NA
COPF 2371,NA,NA,NA
COPF 2372,NA,NA,NA
COPF 2373,NA,NA,NA
COPF 2374,NA,NA,NA
COPF 2375,NA,NA,NA
COPF 2376,NA,NA,NA
COPF 2377,NA,NA,NA
COPF 2378,149.84,100.49,NA
COPF 2379,NA,NA,NA
COPF 2380,NA,NA,NA
COPF 2381,NA,NA,NA
COPF 2382,NA,NA,NA
COPF 2383,NA,NA,NA
COPF 2384,NA,NA,NA
COPF 2385,NA,NA,NA
COPF 2386,NA,NA,NA
COPF 2387,NA,NA,NA
COPF 2388,NA,NA,NA
COPF 2389,NA,NA,NA
COPF 2390,152.75,84.57,42.16
COPF 2391,153.5,86.65,40.63
COPF 2392,151.5,80.08,48.75
COPF 2393,151.93,83.53,45.51
COPF 2394,NA,NA,NA
COPF 2395,NA,NA,NA
COPF 2396,NA,88.26,NA
COPF 2397,149.06,85.43,NA
COPF 2398,153.32,85.5,46.94
COPF 2399,NA,82.64,NA
COPF 2400,153.44,NA,NA
COPF 2401,150.31,83.43,43.49
COPF 2402,151.63,77,41.66
COPF 2403,NA,NA,NA
COPF 2404,NA,NA,NA
COPF 2405,150.75,84.51,41.91
