accenumb,agent_id,doi,days_to_heading,plant_height,thousand_kernel_weight,hectolitric_weight,dry_matter_yield,lodging,protein_content,starch_content,name,description,campaign
COF 3644,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,NA,NA,46.5,NA,NA,NA,NA,NA,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,48,NA,NA,4,15.17,55.49,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,144,NA,46.5,NA,NA,4,14.89,54.18,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,144,NA,46,NA,NA,4,14.71,54.34,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,144,NA,46,NA,NA,4,14.95,53.98,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,144,NA,50,NA,NA,4,14.83,55.13,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,48.5,NA,NA,4,15.04,54.78,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,47,NA,NA,4,14.63,54.55,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,50,NA,NA,4,14.93,55.08,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,47.5,NA,NA,4,14.87,54.38,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,51,NA,NA,4,14.92,54.12,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,46,NA,NA,4,15.21,54.83,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,50,NA,NA,4,14.68,54.99,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,145,NA,47.5,NA,NA,4,14.52,55.17,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,49,NA,NA,4,14.37,55.05,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,145,NA,47.5,NA,NA,4,14.7,54.32,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,145,NA,44,NA,NA,4,15.45,54.46,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,145,NA,45,NA,NA,4,14.44,55.47,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,47.5,NA,NA,4,14.55,55.41,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,143,NA,47,NA,NA,4,14.88,54.67,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,145,NA,45.5,NA,NA,5,14.35,55.76,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,145,NA,44.5,NA,NA,4,14.7,55.7,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,142,NA,45.5,NA,NA,4,14.27,55.96,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,144,NA,40,NA,NA,4,15.53,52.62,Fundulea,Winter barley,1962-1963
COF 3644,NA,NA,145,NA,44,NA,NA,4,14.05,55.79,Fundulea,Winter barley,1962-1963
COF 3005,NA,NA,131,NA,34.05,NA,NA,4,14.98,54.22,Fundulea,Winter barley,1963-1964
COF 3037,NA,NA,152,NA,40,NA,NA,5,12.99,52.94,Fundulea,Winter barley,1963-1964
COF 3040,NA,NA,NA,NA,NA,NA,2650,NA,NA,NA,Fundulea,Winter barley,1963-1964
COF 3040,NA,NA,144,NA,44.13,66.4,3360,NA,14.56,54.23,Fundulea,Winter barley,1963-1964
COF 3040,NA,NA,143,NA,51.5,68.5,1760,NA,15.52,53.55,Fundulea,Winter barley,1963-1964
COF 3040,NA,NA,140,NA,49.2,68.4,2180,NA,15.59,54.77,Fundulea,Winter barley,1963-1964
COF 3040,NA,NA,139,NA,49.1,68,NA,NA,14.54,55.54,Fundulea,Winter barley,1963-1964
COF 3040,NA,NA,139,NA,49.7,65,NA,NA,16.14,53.76,Fundulea,Winter barley,1963-1964
COF 3040,NA,NA,144,NA,41.5,NA,NA,5,13.22,58.64,Fundulea,Winter barley,1963-1964
COF 3043,NA,NA,NA,NA,NA,NA,3330,NA,NA,NA,Fundulea,Winter barley,1963-1964
COF 3043,NA,NA,142,NA,46.88,67.2,3440,NA,14.57,56.88,Fundulea,Winter barley,1963-1964
COF 3114,NA,NA,139,NA,35.4,NA,NA,5,13.8,52.53,Fundulea,Winter barley,1963-1964
COF 3116,NA,NA,135,NA,28.2,NA,NA,2,14.25,54.3,Fundulea,Winter barley,1963-1964
COF 3122,NA,NA,140,NA,35.6,NA,NA,5,14.1,54.39,Fundulea,Winter barley,1963-1964
COF 3132,NA,NA,137,NA,37.2,NA,NA,5,12.87,54.74,Fundulea,Winter barley,1963-1964
COF 3146,NA,NA,145,NA,45.3,65.2,1910,NA,15.24,53.56,Fundulea,Winter barley,1963-1964
COF 3146,NA,NA,139,NA,44.6,NA,NA,4,14.78,55.19,Fundulea,Winter barley,1963-1964
COF 3172,NA,NA,145,NA,38.6,NA,NA,5,13.08,57.95,Fundulea,Winter barley,1963-1964
COF 3173,NA,NA,132,NA,37.1,68.8,3450,NA,14.32,53.74,Fundulea,Winter barley,1963-1964
COF 3219,NA,NA,142,NA,43.9,65.6,NA,NA,14.47,54.88,Fundulea,Winter barley,1963-1964
COF 3219,NA,NA,136,NA,43.1,65.6,NA,NA,14.73,54.98,Fundulea,Winter barley,1963-1964
COF 3220,NA,NA,136,NA,38.9,NA,NA,4,12.59,51.75,Fundulea,Winter barley,1963-1964
COF 3221,NA,NA,NA,NA,45.7,66,2030,NA,15.22,52.87,Fundulea,Winter barley,1963-1964
COF 3221,NA,NA,151,NA,43.7,NA,NA,5,15.5,55.21,Fundulea,Winter barley,1963-1964
COF 3231,NA,NA,138,NA,34,NA,NA,4,14.14,54.62,Fundulea,Winter barley,1963-1964
COF 3239,NA,NA,135,NA,38.2,NA,NA,4,13.38,57.06,Fundulea,Winter barley,1963-1964
COF 3261,NA,NA,142,NA,40.05,NA,NA,3,14.29,55.15,Fundulea,Winter barley,1963-1964
COF 3264,NA,NA,143,NA,44.7,66.6,2470,NA,15.92,51.38,Fundulea,Winter barley,1963-1964
COF 3264,NA,NA,141,NA,43.25,NA,NA,5,16.24,52.79,Fundulea,Winter barley,1963-1964
COF 3266,NA,NA,126,NA,33.9,NA,NA,5,14.55,53.37,Fundulea,Winter barley,1963-1964
COF 3267,NA,NA,NA,NA,44.4,67.2,2380,NA,15.33,52.53,Fundulea,Winter barley,1963-1964
COF 3267,NA,NA,149,NA,40.9,NA,NA,5,16.05,53.56,Fundulea,Winter barley,1963-1964
COF 3285,NA,NA,147,NA,41.75,NA,NA,4,15.7,55.56,Fundulea,Winter barley,1963-1964
COF 3319,NA,NA,149,NA,32.95,65.6,2425,NA,16.52,53.26,Fundulea,Winter barley,1963-1964
COF 3327,NA,NA,149,NA,42.59,NA,NA,5,14.11,56.94,Fundulea,Winter barley,1963-1964
COF 3327,NA,NA,151,NA,42.25,NA,NA,5,14.19,56.75,Fundulea,Winter barley,1963-1964
COF 3332,NA,NA,149,NA,45.75,NA,NA,5,15.55,54.15,Fundulea,Winter barley,1963-1964
COF 3333,NA,NA,141,NA,NA,NA,NA,3,NA,NA,Fundulea,Winter barley,1963-1964
COF 3334,NA,NA,137,NA,39.55,NA,NA,3,13.73,56.16,Fundulea,Winter barley,1963-1964
COF 3335,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,Fundulea,Winter barley,1963-1964
COF 3337,NA,NA,NA,NA,NA,NA,2330,NA,NA,NA,Fundulea,Winter barley,1963-1964
COF 3337,NA,NA,146,NA,48.65,65.4,3260,NA,13.86,55.63,Fundulea,Winter barley,1963-1964
COF 3390,NA,NA,141,NA,37.8,NA,NA,4,14.76,54.51,Fundulea,Winter barley,1963-1964
COF 3391,NA,NA,144,NA,38.5,NA,NA,5,14.54,53.98,Fundulea,Winter barley,1963-1964
COF 3392,NA,NA,153,NA,44.65,NA,NA,5,15.95,56.78,Fundulea,Winter barley,1963-1964
COF 3425,NA,NA,144,NA,37.4,NA,NA,NA,NA,NA,Fundulea,Winter barley,1963-1964
COF 3532,NA,NA,141,NA,45.85,67.2,3575,NA,12.83,54.81,Fundulea,Winter barley,1963-1964
COF 3534,NA,NA,NA,NA,49.8,66,2460,NA,15.08,53.39,Fundulea,Winter barley,1963-1964
COF 3534,NA,NA,149,NA,45.95,NA,NA,5,14.9,54.59,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,NA,NA,NA,NA,3650,NA,NA,NA,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,NA,NA,46.62,66,3550,NA,14.34,56.3,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,NA,NA,45.5,66.6,2840,NA,15.4,55.16,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,NA,NA,45.4,66.4,3900,NA,13.86,57.38,Fundulea,Winter barley,1963-1964
COF 3644,NA,NA,NA,NA,47.8,66,4180,NA,14.35,55.93,Fundulea,Winter barley,1963-1964
