genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
COF 3471,131.94,NA,39.7
COF 3472,131.25,NA,39
COF 3473,132.21,NA,39.23
COF 3474,131.55,NA,37.62
COF 3475,133.36,NA,41.1
COF 3476,129.84,NA,41.55
COF 3477,132.84,NA,40.34
COF 3478,131.52,NA,35.89
COF 3479,131.71,NA,36.77
COF 3480,132.2,NA,36.37
COF 3481,132.68,NA,43.08
COF 3482,132.71,NA,39.61
COF 3483,131.22,NA,40.98
COF 3484,132.2,NA,41.57
COF 3485,132.35,NA,42.39
COF 3486,132.22,NA,35.21
COF 3487,132.68,NA,38.15
COF 3488,133.25,NA,43.42
COF 3489,129.85,NA,38.16
COF 3490,131.65,NA,35.59
COF 3491,132.22,NA,44.71
COF 3492,132.04,NA,36.51
COF 3493,131.68,NA,33.19
COF 3494,131.68,NA,37.33
COF 3495,130.71,NA,42.12
COF 3496,130.96,NA,38.72
COF 3497,131.63,NA,39.14
COF 3498,129.64,NA,40.18
COF 3499,132.73,NA,43.03
COF 3500,129.22,NA,36.85
COF 3501,130.99,NA,41.53
COF 3502,131.94,NA,36.7
COF 3503,132.66,NA,41.9
COF 3504,133.2,NA,44.63
COF 3505,130.46,NA,41.3
COF 3506,132.22,NA,39.77
COF 3507,132.2,NA,42.17
COF 3508,126.83,NA,44.77
COF 3509,131.24,NA,41.38
COF 3510,135.69,NA,44.1
COF 3511,132.88,NA,40.56
COF 3512,133.91,NA,36.28
COF 3513,133.05,NA,45.61
COF 3514,130.34,NA,41.16
COF 3515,132.73,NA,42.83
COF 3516,131.15,NA,43.33
COF 3517,132.82,NA,41.02
COF 3518,131.68,NA,43.22
COF 3519,131.91,NA,40.69
COF 3520,132.73,NA,43.11
COF 3521,132.73,NA,36.35
COF 3522,130.75,NA,46.14
COF 3523,131.17,NA,34.27
COF 3524,130.71,NA,39.64
COF 3525,130.64,NA,34.88
COF 3526,133.71,NA,40.52
COF 3527,132.73,NA,40.2
COF 3528,134.23,NA,38.59
COF 3529,133.57,NA,40.19
COF 3530,135.13,NA,37.22
COF 3531,129.65,NA,37.03
COF 3532,133.67,NA,44.74
COF 3533,131.73,NA,41.96
COF 3534,133.28,NA,43.11
COF 3535,132.73,NA,37.91
COF 3536,134.95,NA,38.28
COF 3537,133.76,NA,37.71
COF 3538,133.51,NA,37.85
COF 3539,134.61,NA,39.96
COF 3540,132.2,NA,37.04
COF 3541,133.24,NA,42.55
COF 3542,130.91,NA,38.26
COF 3543,131.75,NA,38.98
COF 3544,133.2,NA,39.96
COF 3545,132.2,NA,39.16
COF 3546,133.2,NA,38.94
COF 3547,132.2,NA,39.63
COF 3548,130.66,NA,41.83
COF 3549,133.71,NA,40.45
COF 3550,132.68,NA,40.83
COF 3551,132.71,NA,42.09
COF 3552,132.2,NA,45.89
COF 3553,132.22,NA,45.28
COF 3554,134.73,NA,41.07
COF 3555,134.73,NA,42.7
COF 3556,133.71,NA,45.59
COF 3557,132.73,NA,46.8
COF 3558,132.22,NA,43.95
COF 3559,133.73,NA,42.74
COF 3560,133.71,NA,47.38
COF 3561,132.22,NA,42.59
COF 3562,134.22,NA,45.67
COF 3563,132.22,NA,44.31
COF 3564,131.75,NA,46.38
COF 3565,132.75,NA,42.9
COF 3566,133.2,NA,48.01
COF 3567,132.71,NA,46.27
COF 3568,133.2,NA,48.28
COF 3569,130.17,NA,38.01
COF 3570,129.68,NA,39.45
COF 3571,131.22,NA,41.04
COF 3572,130.73,NA,41.29
COF 3573,133.22,NA,40.41
COF 3574,132.73,NA,41.97
COF 3575,132.68,NA,36.54
COF 3576,130.66,NA,41.02
COF 3577,129.15,NA,37.35
COF 3578,132.71,NA,40.27
COF 3579,133.2,NA,34.49
COF 3580,133.22,NA,44.59
COF 3581,132.75,NA,46.28
COF 3582,133.24,NA,48.27
COF 3583,129.68,NA,38.23
COF 3584,132.77,NA,39.74
COF 3585,134.24,NA,44.01
COF 3586,133.26,NA,43.05
COF 3587,134.73,NA,41.94
COF 3588,134.73,NA,43.65
COF 3589,133.71,NA,41.91
COF 3590,132.71,NA,46.96
COF 3591,133.22,NA,41.44
COF 3592,133.71,NA,41.65
COF 3593,132.71,NA,41.16
COF 3594,133.2,NA,42.23
COF 3595,132.17,NA,39.64
COF 3596,132.2,NA,45.22
COF 3597,133.71,NA,43.68
COF 3598,130.66,NA,42.1
COF 3599,132.68,NA,44.93
COF 3600,132.2,NA,45.81
COF 3601,132.22,NA,40.34
COF 3602,133.22,NA,38.38
COF 3603,133.2,NA,43.44
COF 3604,134.71,NA,42.72
COF 3605,135.2,NA,42.35
COF 3606,130.66,NA,35.39
COF 3607,132.22,NA,42.2
COF 3608,131.71,NA,45.08
COF 3609,133.22,NA,43.26
COF 3610,NA,NA,NA
COF 3611,NA,NA,NA
COF 3612,NA,NA,NA
COF 3613,NA,NA,NA
COF 3614,NA,NA,NA
COF 3615,NA,NA,NA
COF 3616,NA,NA,NA
COF 3617,NA,NA,NA
COF 3618,NA,NA,NA
COF 3619,NA,NA,NA
COF 3620,NA,NA,NA
COF 3621,NA,NA,NA
COF 3622,NA,NA,NA
COF 3623,NA,NA,NA
COF 3624,NA,NA,NA
COF 3625,NA,NA,NA
COF 3626,NA,NA,NA
COF 3627,NA,NA,NA
COF 3628,NA,NA,NA
COF 3629,NA,NA,NA
COF 3631,NA,NA,NA
COF 3632,NA,NA,NA
COF 3633,NA,NA,NA
COF 3634,NA,NA,NA
COF 3635,NA,NA,NA
COF 3636,NA,NA,NA
COF 3637,NA,NA,NA
COF 3638,NA,NA,NA
COF 3639,NA,NA,NA
COF 3640,NA,NA,NA
COF 3641,NA,NA,NA
COF 3642,NA,NA,NA
COF 3643,130.63,NA,41.56
COF 3644,135.65,NA,41.34
COF 3645,125.44,78.82,40.35
COF 3646,128.06,78.97,35.98
COF 3647,127.74,83.69,48.78
COF 3648,126.77,78.69,47.16
COF 3649,128.22,79.59,42.54
COF 3650,129.49,84.69,43.17
COF 3651,127.7,86.75,43.92
COF 3652,128.43,83.81,39.76
COF 3653,128.04,81.77,39.94
COF 3654,129.73,81.06,42.52
COF 3655,132.4,82.94,40.3
COF 3656,127.04,83.5,40.06
COF 3657,128.39,82.64,39.61
COF 3658,130.19,80.74,40.82
COF 3659,127.51,NA,44.73
COF 3660,128.8,77.12,44.16
COF 3661,125.4,NA,40.17
COF 3662,129.3,83.42,42.02
COF 3663,126.1,108.82,NA
COF 3664,NA,NA,49.57
COF 3665,NA,NA,41.94
COF 3666,127.95,NA,38.38
COF 3667,129.03,NA,39.22
COF 3668,129.26,NA,NA
COF 3669,129.75,NA,NA
COF 3670,129.28,NA,NA
COF 3671,129.05,NA,41.18
COF 3672,127.24,NA,NA
COF 3673,126.22,NA,NA
COF 3674,128.26,NA,NA
COF 3675,128.77,NA,NA
COF 3676,128.26,NA,NA
COF 3677,128.26,NA,NA
COF 3678,128.26,NA,NA
COF 3679,127.79,NA,NA
COF 3680,129.79,NA,NA
COF 3681,130.83,NA,33.3
COF 3682,130.08,NA,NA
COF 3683,NA,NA,NA
COF 3684,NA,NA,NA
COF 3685,NA,NA,NA
COF 3686,130.68,102.13,37.22
COF 3687,126.49,NA,NA
COF 3688,NA,NA,NA
COF 3689,NA,NA,NA
COF 3690,NA,NA,NA
COF 3691,128.77,NA,NA
COF 3692,128.75,NA,NA
COF 3693,130.24,NA,NA
COF 3694,129.24,NA,NA
COF 3695,129.24,NA,NA
COF 3696,130.75,NA,NA
COF 3697,130.75,NA,NA
COF 3698,129.28,NA,NA
COF 3699,126.22,NA,NA
COF 3700,129.73,NA,NA
COF 3701,129.73,NA,NA
COF 3702,130.24,NA,NA
COF 3703,130.24,NA,NA
COF 3704,127.68,NA,NA
COF 3705,126.74,NA,36.09
COF 3706,127.98,NA,40.57
COF 3707,127.2,NA,NA
COF 3708,127.2,NA,NA
COF 3709,126.22,NA,37.27
COF 3710,126.73,NA,38.37
COF 3711,128.22,NA,39.27
COF 3712,130.26,NA,43.57
COF 3713,128.71,NA,NA
COF 3714,128.22,NA,NA
COF 3715,127.2,NA,NA
COF 3716,128.22,NA,NA
COF 3717,128.22,NA,NA
COF 3718,126.71,NA,34.21
COF 3719,130.75,NA,NA
COF 3720,130.75,NA,NA
COF 3721,129.46,NA,43.68
COF 3722,130.75,NA,41.64
COF 3723,129.75,101.7,51.77
COF 3724,129.2,NA,NA
COF 3725,125.2,NA,NA
COF 3727,130.75,NA,NA
COF 3728,130.75,NA,NA
COF 3729,130.28,NA,NA
COF 3730,129.24,NA,NA
COF 3731,126.71,NA,NA
COF 3732,125.68,NA,NA
COF 3733,125.68,NA,NA
COF 3734,128.77,NA,NA
COF 3735,128.77,NA,NA
COF 3736,129.26,NA,NA
COF 3737,126.22,NA,NA
COF 3738,129.28,NA,NA
COF 3739,130.77,NA,NA
COF 3740,129.24,NA,NA
COF 3741,128.77,NA,NA
COF 3742,130.77,NA,NA
COF 3743,128.77,NA,NA
COF 3744,128.77,NA,NA
COF 3745,130.75,NA,NA
COF 3746,130.75,NA,NA
COF 3747,130.75,NA,NA
COF 3748,131.28,NA,NA
COF 3749,131.26,NA,NA
COF 3750,127.24,NA,NA
COF 3751,131.26,NA,NA
COF 3752,131.75,NA,NA
COF 3753,130.77,NA,NA
COF 3754,129.26,NA,NA
COF 3755,131.26,NA,NA
COF 3756,NA,NA,NA
COF 3757,129.75,NA,NA
COF 3758,NA,NA,NA
COF 3759,NA,NA,NA
COF 3760,NA,NA,NA
COF 3761,NA,NA,NA
COF 3762,NA,NA,NA
