accenumb,campaign,days_to_heading,plant_height,thousand_kernel_weight,powdery_mildew,leaf_rust,yellow_rust,septoria_tritici_ssp,protein_content,sds_sedimentation_volume
TA00281,2005-2006,128,65,NA,0,0,NA,0,NA,NA
TA00282,2005-2006,126,88,NA,0,4,NA,0,NA,NA
TA00284,2005-2006,126,72,NA,0,0,NA,0,NA,NA
TA00285,2005-2006,135,89,NA,0,4,NA,0,NA,NA
TA00286,2005-2006,127,96,NA,0,4,NA,0,NA,NA
TA00289,2005-2006,137,138,NA,2,4,NA,0,NA,NA
TA00290,2005-2006,127,69,NA,4,2,NA,0,NA,NA
TA00291,2005-2006,131,64,NA,0,4,NA,0,NA,NA
TA00292,2005-2006,128,64,NA,0,2,NA,0,NA,NA
TA00293,2005-2006,126,78,NA,0,0,NA,0,NA,NA
TA00296,2005-2006,131,107,NA,0,2,NA,0,NA,NA
TA00297,2005-2006,140,65,NA,0,0,NA,0,NA,NA
TA00298,2005-2006,126,71,NA,0,0,NA,0,NA,NA
TA00299,2005-2006,127,73,NA,0,0,NA,0,NA,NA
TA00300,2005-2006,126,108,NA,2,7,NA,0,NA,NA
TA00301,2005-2006,134,92,NA,4,9,NA,0,NA,NA
TA00302,2005-2006,135,74,NA,2,2,NA,0,NA,NA
TA00303,2005-2006,139,133,NA,2,0,NA,0,NA,NA
TA00304,2005-2006,126,90,NA,0,2,NA,0,NA,NA
TA00305,2005-2006,126,89,NA,0,2,NA,0,NA,NA
TA00308,2005-2006,126,93,NA,0,2,NA,0,NA,NA
TA00309,2005-2006,NA,NA,NA,0,0,NA,0,NA,NA
TA00310,2005-2006,127,104,NA,0,0,NA,0,NA,NA
TA00311,2005-2006,126,95,NA,0,0,NA,0,NA,NA
TA00312,2005-2006,126,98,NA,0,0,NA,0,NA,NA
TA00314,2005-2006,127,92,NA,0,0,NA,0,NA,NA
TA00315,2005-2006,126,114,NA,2,2,NA,0,NA,NA
TA00316,2005-2006,132,143,NA,2,4,NA,0,NA,NA
TA00318,2005-2006,127,74,NA,0,7,NA,0,NA,NA
TA00322,2005-2006,127,76,NA,0,2,NA,2,NA,NA
TA00323,2005-2006,127,73,NA,0,2,NA,0,NA,NA
TA00324,2005-2006,135,131,NA,0,2,NA,0,NA,NA
TA00325,2005-2006,136,134,NA,0,2,NA,0,NA,NA
TA00326,2005-2006,136,136,NA,0,2,NA,0,NA,NA
TA00327,2005-2006,137,141,NA,0,2,NA,0,NA,NA
TA00328,2005-2006,127,71,NA,4,2,NA,0,NA,NA
TA00330,2005-2006,129,74,NA,0,4,NA,0,NA,NA
TA00331,2005-2006,131,97,NA,2,4,NA,0,NA,NA
TA00332,2005-2006,130,101,NA,4,4,NA,0,NA,NA
TA00335,2005-2006,131,70,NA,4,2,NA,2,NA,NA
TA00339,2005-2006,126,78,NA,4,4,NA,1,NA,NA
TA00340,2005-2006,117,82,NA,4,4,NA,0,NA,NA
TA00341,2005-2006,125,92,NA,4,4,NA,0,NA,NA
TA00342,2005-2006,126,75,NA,2,4,NA,0,NA,NA
TA00343,2005-2006,124,100,NA,2,2,NA,0,NA,NA
TA00344,2005-2006,124,82,NA,0,0,NA,0,NA,NA
