genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA05092,123.47,78.7,40.73,NA,NA,NA,NA
TA05093,132.73,80.19,45.74,NA,NA,NA,NA
TA05094,NA,104.18,36.99,NA,NA,NA,NA
TA05095,127.73,118.66,NA,NA,NA,NA,NA
TA05099,125.73,106.66,NA,NA,NA,NA,NA
TA05100,133.37,73.18,49,NA,NA,NA,NA
TA05105,132.37,71.2,39.25,NA,NA,NA,NA
TA05106,122.1,73.72,45.24,NA,NA,NA,NA
TA05110,124.1,110.17,44.47,NA,NA,NA,NA
TA05111,139.63,131.58,32.98,NA,NA,NA,NA
TA05117,121.93,96.16,42.49,NA,NA,NA,NA
TA05129,126.47,110.14,NA,NA,NA,NA,NA
TA05132,135,137.66,NA,NA,NA,NA,NA
TA05139,124.28,78.54,NA,1.2,2.89,NA,NA
TA05142,125.73,110.66,NA,NA,NA,NA,NA
TA05143,122.2,73.68,NA,NA,NA,NA,NA
TA05144,129.47,79.17,NA,NA,NA,NA,NA
TA05145,122.2,73.69,33.5,NA,NA,NA,NA
TA05158,130.1,NA,NA,NA,NA,NA,NA
TA05160,124.83,80.13,46.73,NA,NA,NA,NA
TA05161,121.93,84.21,39.93,NA,NA,NA,NA
TA05162,128.83,75.21,37.23,NA,NA,NA,NA
TA05164,117.03,86.7,30.01,NA,NA,NA,NA
TA05167,122.2,83.62,NA,NA,NA,NA,NA
TA05170,132.37,112.63,NA,NA,NA,NA,NA
TA05171,124.47,91.28,35,NA,NA,NA,NA
TA05173,124.2,NA,43.48,NA,NA,NA,NA
TA05177,123.83,108.04,36.75,NA,NA,NA,NA
TA05178,123.1,97.71,42.49,NA,NA,NA,NA
TA05179,117.56,101.61,39.73,NA,NA,NA,NA
TA05189,134.47,105.27,NA,NA,NA,NA,NA
TA05196,138.7,120.47,36.78,NA,NA,NA,NA
TA05197,132.1,109.04,39.49,NA,NA,NA,NA
TA05199,127.73,101.63,34.49,NA,NA,NA,NA
TA05210,125.2,96.12,37.75,NA,NA,NA,NA
TA05213,126.47,86.58,40.24,NA,NA,NA,NA
TA05222,123.2,72.67,37.73,NA,NA,NA,NA
TA05229,127.37,101.09,31.51,NA,NA,NA,NA
TA05230,121.56,90.62,38.73,NA,NA,NA,NA
TA05232,123.2,73.18,NA,NA,NA,NA,NA
TA05233,122.83,108.62,45.48,NA,NA,NA,NA
TA05234,117.93,87.75,27.98,NA,NA,NA,NA
TA05257,119.22,77.54,NA,2.9,3.44,NA,NA
TA05258,120.26,73.51,NA,3.54,3.51,NA,NA
TA05259,121.39,89.6,NA,3.64,3.68,NA,NA
TA05260,117.71,69.23,NA,4.31,3.58,NA,NA
TA05261,118.4,67.57,NA,3.69,3.58,NA,NA
TA05262,120.14,71.3,NA,3.83,3.29,NA,NA
TA05263,118.45,80.51,NA,4.69,3.26,NA,NA
TA05264,119.33,71.12,NA,5.47,4.34,NA,NA
TA05265,119.95,62.16,41.08,3.3,4.26,NA,NA
TA05266,118.6,72.02,NA,5.08,3.22,NA,NA
TA05269,119.04,52.64,NA,2.88,3.41,NA,NA
TA05310,132.1,112.22,32.48,NA,NA,NA,NA
TA05312,118.66,93.72,41.74,NA,NA,NA,NA
TA05318,116.3,NA,NA,NA,NA,NA,NA
TA05331,116.4,84.78,37.5,NA,NA,NA,NA
TA05335,125.47,87.22,35,NA,NA,NA,NA
TA05345,119.66,80.23,NA,NA,NA,NA,NA
TA05346,124.56,77.26,NA,NA,NA,NA,NA
TA05360,124.2,46.78,42.77,NA,NA,NA,NA
TA05362,137.2,117.3,45.24,NA,NA,NA,NA
TA05363,127.69,109.77,39.49,NA,NA,NA,NA
TA05364,125.76,87.21,42,NA,NA,NA,NA
TA05367,130.47,87.26,46.51,NA,NA,NA,NA
TA05368,127.56,70.23,36.24,NA,NA,NA,NA
TA05371,129.73,106.27,NA,NA,NA,NA,NA
TA05372,128.2,75.23,45.23,NA,NA,NA,NA
TA05373,128.83,71.7,43.5,NA,NA,NA,NA
TA05379,125.93,72.68,35.74,NA,NA,NA,NA
TA05380,130.83,69.68,49.49,NA,NA,NA,NA
TA05381,130.47,76.71,41.98,NA,NA,NA,NA
TA05382,136.47,82.67,46.01,NA,NA,NA,NA
TA05396,123.83,64.72,38.98,NA,NA,NA,NA
TA05397,128.2,53.18,46,NA,NA,NA,NA
TA05398,139.37,78.69,39.25,NA,NA,NA,NA
TA05417,131.37,69.69,NA,NA,NA,NA,NA
TA05418,131.83,77.19,43.5,NA,NA,NA,NA
TA05419,124.56,69.17,40.25,NA,NA,NA,NA
TA05420,124.93,72.18,45.49,NA,NA,NA,NA
TA05431,123.56,68.16,44.74,NA,NA,NA,NA
TA05432,131.47,116.7,45.01,NA,NA,NA,NA
