accenumb,agent_id,doi,days_to_heading,thousand_kernel_weight,plant_height,name,description,campaign
IG 107108,AW_17407,NA,134,3.4,110,CE9402,NA,1993-1994
IG 107109,AW_23030,NA,134,3.2,100,CE9402,NA,1993-1994
IG 107110,AW_28690,NA,134,3.4,103,CE9402,NA,1993-1994
IG 107111,AW_17408,NA,134,3.2,95,CE9402,NA,1993-1994
IG 107112,AW_20231,NA,128,2.4,85,CE9402,NA,1993-1994
IG 107113,AW_23031,NA,134,3.4,113,CE9402,NA,1993-1994
IG 107114,AW_28691,NA,134,3.2,125,CE9402,NA,1993-1994
IG 107115,AW_20232,NA,140,2.8,93,CE9402,NA,1993-1994
IG 107116,AW_17449,NA,134,3.6,110,CE9402,NA,1993-1994
IG 107117,AW_23066,NA,134,3.2,113,CE9402,NA,1993-1994
IG 107118,AW_34445,NA,134,3.2,113,CE9402,NA,1993-1994
IG 107119,AW_37221,NA,136,3,120,CE9402,NA,1993-1994
IG 107120,AW_20264,NA,134,3.4,108,CE9402,NA,1993-1994
IG 107121,AW_28732,NA,130,2.8,90,CE9402,NA,1993-1994
IG 107122,AW_28733,NA,136,3.2,103,CE9402,NA,1993-1994
IG 107123,AW_34446,NA,134,3.2,105,CE9402,NA,1993-1994
IG 107124,AW_28734,NA,126,2.8,75,CE9402,NA,1993-1994
IG 107125,AW_17450,NA,130,2.6,80,CE9402,NA,1993-1994
IG 107126,AW_25888,NA,126,3.6,73,CE9402,NA,1993-1994
IG 107127,AW_23067,NA,134,3.2,113,CE9402,NA,1993-1994
IG 107128,AW_17451,NA,140,2.4,70,CE9402,NA,1993-1994
IG 107129,AW_34447,NA,140,3.4,80,CE9402,NA,1993-1994
IG 107130,AW_25889,NA,138,3,70,CE9402,NA,1993-1994
IG 107131,AW_17452,NA,134,2.6,95,CE9402,NA,1993-1994
IG 107132,AW_25890,NA,134,3.2,110,CE9402,NA,1993-1994
IG 107133,AW_25891,NA,134,3.2,118,CE9402,NA,1993-1994
IG 107134,AW_31687,NA,136,2.8,105,CE9402,NA,1993-1994
IG 107135,AW_34448,NA,134,3.6,108,CE9402,NA,1993-1994
IG 107136,AW_20265,NA,138,3,110,CE9402,NA,1993-1994
IG 107138,AW_23068,NA,134,3.2,105,CE9402,NA,1993-1994
IG 107139,AW_20266,NA,126,3,80,CE9402,NA,1993-1994
IG 107140,AW_28735,NA,134,3.2,110,CE9402,NA,1993-1994
