genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
IG 118846,145.94,99.36,45.16
IG 118847,146.33,104.53,45.24
IG 118848,145.34,102.42,NA
IG 118849,144.79,121.39,39.8
IG 118850,NA,NA,NA
IG 118851,NA,103.96,33.55
IG 118853,NA,100.93,29.04
IG 118854,147.31,102.59,42.86
IG 118855,143.27,104.42,NA
IG 118856,NA,106.39,39.58
IG 118857,NA,NA,NA
IG 118858,NA,NA,NA
IG 118859,145.39,119.15,44.83
IG 118860,139.27,98.14,NA
IG 118861,NA,95.77,37.14
IG 118862,NA,NA,NA
IG 118863,NA,NA,NA
IG 118864,NA,NA,NA
IG 118865,143.26,96.66,NA
IG 118866,143.27,102.49,35.09
IG 118867,NA,95.32,35.78
IG 118868,139.12,99.22,35.43
IG 118869,NA,101.86,31.65
IG 118870,139.33,105.53,36.28
IG 118871,135.79,90.45,33.64
IG 118872,NA,104.06,40.51
IG 118873,139.12,98.41,NA
IG 118874,135.79,108.57,45.28
IG 118875,142.93,99.06,37.41
IG 118876,139.08,90.91,NA
IG 118877,139.12,107.93,NA
IG 118878,135.89,107.42,NA
IG 118879,NA,NA,NA
IG 118880,139.17,100.15,NA
IG 118881,139.71,99.06,NA
IG 118882,143.64,106.35,NA
IG 118883,135.65,101.42,NA
IG 118884,139.69,95.61,34.34
IG 118885,139.63,99.9,NA
IG 118886,NA,NA,NA
IG 118887,143.33,94.93,NA
IG 118888,NA,111.87,NA
IG 118889,NA,NA,NA
IG 118890,137.66,92.96,46.26
IG 118891,139.42,93.28,39.14
IG 118892,139.45,95.32,34.91
IG 118893,NA,NA,NA
IG 118894,144.94,98.16,NA
IG 118895,NA,NA,NA
IG 118896,139.17,93.41,NA
IG 118897,NA,NA,NA
IG 118898,142.77,99.91,NA
IG 118899,NA,NA,NA
IG 118900,135.32,99.41,NA
IG 118901,142.99,93.91,35.24
IG 118902,NA,98.28,39.48
IG 118903,135.46,103.66,NA
IG 118904,NA,NA,NA
IG 118905,NA,93.75,33.91
IG 118906,142.93,115.92,36.04
IG 118907,NA,107.42,NA
IG 118908,146.96,96.1,35.79
IG 118909,NA,NA,NA
IG 118910,139.42,101.15,NA
IG 118911,NA,NA,NA
IG 118912,139.77,105.06,42.74
IG 118913,NA,NA,NA
IG 118914,145.31,103.38,43.34
IG 118915,145.45,103.75,40.02
IG 118916,146.89,102.46,NA
IG 118917,139.08,112.44,NA
IG 118918,135.46,104.93,NA
IG 118919,NA,NA,NA
IG 118920,133.46,88.12,31.3
IG 118921,145.04,94.16,NA
IG 118922,134.92,91.39,39.93
IG 118923,139.12,97.42,NA
IG 118924,135.42,100.65,NA
IG 118925,NA,94.06,35.56
IG 118926,NA,NA,NA
IG 118927,139.51,95.79,36.54
IG 118928,NA,NA,NA
IG 118929,139.08,101.17,NA
IG 118930,139.12,95.17,NA
IG 118931,NA,NA,NA
IG 118932,NA,104.06,35.56
IG 118933,NA,NA,NA
IG 118934,139.21,102.91,NA
IG 118935,135.67,109.94,NA
IG 118936,NA,NA,NA
IG 118937,NA,91.39,35.84
IG 118938,NA,98.28,33.07
IG 118940,NA,102.96,32.99
IG 118941,139.27,105.15,NA
IG 118942,139.23,106.05,38.14
IG 118943,NA,100.45,37.09
IG 118944,139.12,107.93,NA
IG 118945,NA,NA,NA
IG 118946,139.21,101.91,NA
IG 118947,NA,NA,NA
IG 118948,NA,101.71,33.48
IG 118949,NA,NA,NA
IG 118950,143.3,93.59,31.25
IG 118951,143.47,93.08,40.06
IG 118952,139.52,115.15,NA
IG 118953,NA,NA,NA
IG 118954,143.46,102,39.14
IG 118955,139.32,107.66,NA
IG 118957,143.39,105.61,36.07
IG 118958,NA,96.89,32.47
IG 118959,139.21,129.43,NA
IG 118960,144.87,99.38,28.51
IG 118961,NA,NA,NA
IG 118962,NA,NA,NA
IG 118963,142.74,104.43,NA
IG 118964,135.27,111.71,32.51
IG 118965,NA,NA,NA
IG 118966,139.17,111.94,NA
IG 118967,139.17,115.17,NA
IG 118968,NA,NA,NA
IG 118969,145.69,97.1,NA
IG 118970,NA,88.1,35.24
IG 118971,142.83,98.41,NA
IG 118972,NA,90.14,35.83
IG 118973,NA,NA,NA
IG 118974,NA,NA,NA
IG 118975,NA,106.08,34.97
IG 118976,139.04,107.42,NA
IG 118977,144.75,94.96,37.04
IG 118978,143.48,103.08,36.25
IG 118979,145.09,96.16,NA
IG 118980,NA,86.24,34.09
IG 118981,144.6,101.92,NA
IG 118982,NA,106.86,36.85
IG 118983,NA,98.28,34.02
IG 118984,NA,NA,NA
IG 118985,NA,NA,NA
IG 118986,143.27,102.96,31.23
IG 118987,143.48,106.71,31.07
IG 118989,145.27,83.15,30.72
IG 118990,135.3,103.55,34.29
IG 118991,135.61,102.65,NA
IG 118992,143.38,97.36,NA
IG 118993,NA,105.79,35.59
IG 118994,145.13,91.15,NA
IG 118995,134.03,102.34,28.75
IG 118996,NA,NA,NA
IG 118997,NA,NA,NA
IG 118998,143.54,98.15,32.66
IG 118999,NA,82.96,32.75
IG 119000,139.08,90.9,NA
IG 119001,139.12,101.67,NA
IG 119002,139.27,99.41,NA
IG 119003,NA,NA,NA
IG 119005,145.23,85.4,NA
IG 119006,143.57,104.06,31.55
IG 119007,142.87,109.43,NA
IG 119008,143.12,98.92,NA
IG 119009,NA,86.73,39.87
IG 119010,144.78,104.22,32.63
IG 119011,NA,NA,NA
IG 119012,139.17,95.65,NA
IG 119013,NA,NA,NA
IG 119014,143.17,101.42,NA
IG 119015,139.08,108.66,NA
IG 119016,145.45,90.61,35.25
IG 119017,NA,NA,NA
IG 119018,NA,NA,NA
IG 119019,NA,91.39,36.69
IG 119020,NA,NA,NA
IG 119021,136.21,98.12,43.04
IG 119022,139.32,105.41,NA
IG 119023,NA,NA,NA
IG 119024,143.33,96.55,31.93
IG 119025,NA,95.79,30.76
IG 119026,139.25,96.95,35.75
IG 119027,NA,NA,NA
IG 119028,NA,86.24,38.27
IG 119029,NA,NA,NA
IG 119030,NA,91.39,38.58
IG 119031,NA,87.65,35.85
IG 119032,139.27,107.42,NA
IG 119033,NA,NA,NA
IG 119034,NA,95.16,39.81
IG 119035,NA,NA,NA
IG 119036,147,86.15,NA
IG 119037,NA,87.92,38.51
IG 119038,145.29,103.66,NA
IG 119039,145.39,84.34,32.24
IG 119040,139.27,91.08,28.83
IG 119041,132.95,101.17,NA
IG 119042,139.17,90.77,27.31
IG 119043,NA,97.18,36.76
IG 119044,139.08,111.66,NA
IG 119045,NA,91.04,33.69
IG 119046,NA,NA,NA
IG 119047,NA,91.1,34.14
IG 119048,NA,99.98,32.57
IG 119049,139.27,107.91,NA
IG 119050,139.42,104.04,29.79
IG 119051,NA,104.98,34.35
IG 119052,NA,94.69,31.08
IG 119053,143.24,110.14,31.34
IG 119054,NA,NA,NA
IG 119055,NA,95.14,34.11
IG 119056,NA,104.22,32.32
