accenumb,campaign,plant_height
LRC_SSD_IG_32804,1993-1994,145
LRC_SSD_IG_33005,1993-1994,145
LRC_SSD_IG_33005,1993-1994,145.3333
LRC_SSD_IG_33007,1993-1994,151
LRC_SSD_IG_33007,1993-1994,149
LRC_SSD_IG_33010,1993-1994,145
LRC_SSD_IG_33010,1993-1994,143.6667
LRC_SSD_IG_35405,1993-1994,145
LRC_SSD_IG_37619,1993-1994,130
LRC_SSD_IG_37773,1993-1994,143
LRC_SSD_IG_37794,1993-1994,141
LRC_SSD_IG_38519,1993-1994,153
LRC_SSD_IG_115942,1994-1995,138
LRC_SSD_IG_115970,1994-1995,133
LRC_SSD_IG_115978,1994-1995,149
LRC_SSD_IG_115985,1994-1995,142
LRC_SSD_IG_115990,1994-1995,129
LRC_SSD_IG_18747,1994-1995,126
LRC_SSD_IG_18786,1994-1995,124
LRC_SSD_IG_18807,1994-1995,133
LRC_SSD_IG_18836,1994-1995,142
LRC_SSD_IG_18873,1994-1995,149
LRC_SSD_IG_18952,1994-1995,157
LRC_SSD_IG_18988,1994-1995,142
LRC_SSD_IG_19051,1994-1995,142
LRC_SSD_IG_19114,1994-1995,129
LRC_SSD_IG_19121,1994-1995,142
LRC_SSD_IG_19158,1994-1995,142
LRC_SSD_IG_19579,1994-1995,142
LRC_SSD_IG_27184,1994-1995,136
LRC_SSD_IG_27246,1994-1995,154
LRC_SSD_IG_27252,1994-1995,139
LRC_SSD_IG_28575,1994-1995,131
LRC_SSD_IG_28675,1994-1995,124
LRC_SSD_IG_28734,1994-1995,124
LRC_SSD_IG_28763,1994-1995,131
LRC_SSD_IG_28811,1994-1995,127
LRC_SSD_IG_28815,1994-1995,146
LRC_SSD_IG_28817,1994-1995,146
LRC_SSD_IG_28860,1994-1995,146
LRC_SSD_IG_33005,1994-1995,136
LRC_SSD_IG_33005,1994-1995,139
LRC_SSD_IG_33007,1994-1995,146
LRC_SSD_IG_33010,1994-1995,139
LRC_SSD_IG_37619,1994-1995,119
LRC_SSD_IG_37773,1994-1995,139
LRC_SSD_IG_37794,1994-1995,139
LRC_SSD_IG_115942,1996-1997,154
LRC_SSD_IG_19158,1996-1997,154
LRC_SSD_IG_120496,1997-1998,151
LRC_SSD_IG_120497,1997-1998,153
LRC_SSD_IG_120498,1997-1998,151
LRC_SSD_IG_120513,1997-1998,151
LRC_SSD_IG_120514,1997-1998,142
LRC_SSD_IG_120516,1997-1998,151
LRC_SSD_IG_120518,1997-1998,145
LRC_SSD_IG_120524,1997-1998,153
LRC_SSD_IG_120536,1997-1998,145
LRC_SSD_IG_120567,1997-1998,155
LRC_SSD_IG_120575,1997-1998,151
LRC_SSD_IG_120577,1997-1998,159
LRC_SSD_IG_120580,1997-1998,153
LRC_SSD_IG_120581,1997-1998,153
LRC_SSD_IG_120582,1997-1998,155
LRC_SSD_IG_120585,1997-1998,153
LRC_SSD_IG_120588,1997-1998,153
LRC_SSD_IG_120589,1997-1998,153
LRC_SSD_IG_120592,1997-1998,153
LRC_SSD_IG_120593,1997-1998,153
LRC_SSD_IG_120612,1997-1998,153
LRC_SSD_IG_120613,1997-1998,159
LRC_SSD_IG_120615,1997-1998,159
LRC_SSD_IG_120620,1997-1998,159
LRC_SSD_IG_120621,1997-1998,153
LRC_SSD_IG_120643,1997-1998,153
LRC_SSD_IG_120669,1997-1998,142
LRC_SSD_IG_120680,1997-1998,142
LRC_SSD_IG_120684,1997-1998,142
LRC_SSD_IG_120496,1998-1999,127
LRC_SSD_IG_120497,1998-1999,135
LRC_SSD_IG_120498,1998-1999,131
LRC_SSD_IG_120513,1998-1999,131
LRC_SSD_IG_120514,1998-1999,124
LRC_SSD_IG_120516,1998-1999,126
LRC_SSD_IG_120518,1998-1999,124
LRC_SSD_IG_120524,1998-1999,135
LRC_SSD_IG_120536,1998-1999,131
LRC_SSD_IG_120567,1998-1999,133
