accenumb,agent_id,doi,plant_height,days_to_heading,early_growth_tendency,thousand_kernel_weight,name,description,campaign
CGN00189,NA,10.18730/132S2,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00190,NA,10.18730/132T3,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00191,NA,10.18730/132V4,90,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00194,NA,10.18730/132Y7,85,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00195,NA,10.18730/132Z8,100,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00196,NA,10.18730/13309,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00197,NA,10.18730/1331A,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00198,NA,10.18730/1332B,80,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00199,NA,10.18730/1333C,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00200,NA,10.18730/1334D,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00201,NA,10.18730/1335E,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00202,NA,10.18730/1336F,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00203,NA,10.18730/1337G,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00205,NA,10.18730/1339J,95,NA,2,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00207,NA,10.18730/133BM,70,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00210,NA,10.18730/133CN,115,NA,7,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00211,NA,10.18730/133DP,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00212,NA,10.18730/133EQ,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00214,NA,10.18730/133FR,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00217,NA,10.18730/133GS,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00218,NA,10.18730/133HT,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00220,NA,10.18730/133JV,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00221,NA,10.18730/133KW,120,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00223,NA,10.18730/133NY,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00225,NA,10.18730/133PZ,105,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00226,NA,10.18730/133Q*,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00227,NA,10.18730/133R~,115,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00228,NA,10.18730/133S$,140,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00229,NA,10.18730/133T=,115,156,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00230,NA,10.18730/133VU,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00237,NA,10.18730/133Y2,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00238,NA,10.18730/133Z3,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00239,NA,10.18730/13404,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00240,NA,10.18730/13415,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00241,NA,10.18730/13426,95,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00243,NA,10.18730/13448,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00244,NA,10.18730/13459,100,156,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00246,NA,10.18730/1346A,110,NA,4,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00247,NA,10.18730/1347B,105,156,5,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00248,NA,10.18730/1348C,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00250,NA,10.18730/1349D,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00251,NA,10.18730/134AE,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00253,NA,10.18730/134BF,105,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00254,NA,10.18730/134CG,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00255,NA,10.18730/134DH,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00256,NA,10.18730/134EJ,90,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00258,NA,10.18730/134FK,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00259,NA,10.18730/134GM,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00261,NA,10.18730/134JP,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00263,NA,10.18730/134KQ,110,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00265,NA,10.18730/134MR,115,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00266,NA,10.18730/134NS,100,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
CGN00267,NA,10.18730/134PT,125,NA,6,NA,Multiplication Spring Barley Wageningen,"Location: Born Wageningen, sandy soil. Sowing date: 12/3/85, harvested 9/8/85.",1985-1985
