accenumb,campaign,plant_height
CGN05757,1985-1986,130
CGN05759,1985-1986,130
CGN05764,1985-1986,130
CGN05765,1985-1986,160
CGN05780,1985-1986,115
CGN07961,1985-1986,120
CGN11448,1985-1986,125
CGN04247,1986-1986,100
CGN04248,1986-1986,95
CGN04249,1986-1986,95
CGN04250,1986-1986,80
CGN04251,1986-1986,105
CGN04252,1986-1986,120
CGN04255,1986-1986,125
CGN04256,1986-1986,115
CGN04259,1986-1986,110
CGN06529,1986-1986,110
CGN06530,1986-1986,115
CGN06531,1986-1986,110
CGN06532,1986-1986,115
CGN06533,1986-1986,95
CGN06542,1986-1986,125
CGN06548,1986-1986,115
CGN06554,1986-1986,85
CGN06558,1986-1986,75
CGN06560,1986-1986,65
CGN06561,1986-1986,80
CGN06562,1986-1986,90
CGN06562,1986-1986,80
CGN06564,1986-1986,130
CGN06565,1986-1986,90
CGN07975,1986-1986,110
CGN07978,1986-1986,115
CGN07982,1986-1986,120
CGN07993,1986-1986,120
CGN07995,1986-1986,105
CGN07996,1986-1986,100
CGN07997,1986-1986,105
CGN07998,1986-1986,115
CGN07999,1986-1986,100
CGN08000,1986-1986,100
CGN08006,1986-1986,80
CGN08007,1986-1986,95
CGN08008,1986-1986,80
CGN08009,1986-1986,100
CGN08010,1986-1986,80
CGN08012,1986-1986,95
CGN08013,1986-1986,75
CGN08014,1986-1986,90
CGN08017,1986-1986,120
CGN08018,1986-1986,120
CGN08019,1986-1986,95
CGN08020,1986-1986,95
CGN08022,1986-1986,105
CGN08023,1986-1986,95
CGN08025,1986-1986,100
CGN08026,1986-1986,95
CGN08027,1986-1986,120
CGN08028,1986-1986,120
CGN08030,1986-1986,80
CGN08032,1986-1986,65
CGN08033,1986-1986,85
CGN08034,1986-1986,85
CGN08035,1986-1986,85
CGN08036,1986-1986,110
CGN08038,1986-1986,105
CGN08039,1986-1986,105
CGN08040,1986-1986,110
CGN08041,1986-1986,105
CGN08042,1986-1986,100
CGN08043,1986-1986,110
CGN08044,1986-1986,110
CGN08045,1986-1986,115
CGN08046,1986-1986,115
CGN12016,1986-1986,80
CGN12036,1986-1986,85
CGN12037,1986-1986,85
CGN12038,1986-1986,85
CGN12039,1986-1986,80
CGN12040,1986-1986,75
CGN12041,1986-1986,75
CGN12042,1986-1986,70
CGN12299,1986-1986,65
CGN13138,1986-1986,80
CGN13141,1986-1986,70
CGN21064,1986-1986,85
CGN21103,1986-1986,80
CGN21104,1986-1986,85
CGN04042,1987-1987,85
CGN06529,1987-1987,125
CGN06530,1987-1987,140
CGN06531,1987-1987,120
CGN06532,1987-1987,130
CGN06533,1987-1987,115
CGN06542,1987-1987,145
CGN06564,1987-1987,145
CGN06565,1987-1987,105
CGN07978,1987-1987,130
CGN07982,1987-1987,140
CGN08130,1987-1987,150
CGN08137,1987-1987,110
CGN08140,1987-1987,135
CGN08149,1987-1987,125
CGN08150,1987-1987,150
CGN08151,1987-1987,150
CGN08153,1987-1987,125
CGN08158,1987-1987,120
CGN08159,1987-1987,110
CGN08160,1987-1987,100
CGN08161,1987-1987,135
CGN08162,1987-1987,135
CGN08163,1987-1987,120
CGN08164,1987-1987,130
CGN08167,1987-1987,75
CGN08168,1987-1987,115
CGN08169,1987-1987,150
CGN08171,1987-1987,140
CGN08194,1987-1987,130
CGN08201,1987-1987,145
CGN08247,1987-1987,155
CGN08248,1987-1987,150
CGN08249,1987-1987,145
CGN08250,1987-1987,140
CGN08251,1987-1987,145
CGN08252,1987-1987,135
CGN08254,1987-1987,130
CGN08255,1987-1987,145
CGN08256,1987-1987,140
CGN08261,1987-1987,160
CGN08262,1987-1987,145
CGN08265,1987-1987,80
CGN08266,1987-1987,110
CGN08267,1987-1987,100
CGN08268,1987-1987,95
CGN08269,1987-1987,95
CGN08270,1987-1987,95
CGN08271,1987-1987,85
CGN08272,1987-1987,85
CGN08279,1987-1987,145
CGN08303,1987-1987,135
CGN08309,1987-1987,140
CGN08312,1987-1987,115
CGN08319,1987-1987,145
CGN08328,1987-1987,115
CGN08331,1987-1987,120
CGN08335,1987-1987,135
CGN08336,1987-1987,140
CGN08344,1987-1987,110
CGN08345,1987-1987,140
CGN08349,1987-1987,145
CGN08356,1987-1987,145
CGN08359,1987-1987,135
CGN08362,1987-1987,130
CGN08368,1987-1987,135
CGN08373,1987-1987,140
CGN08374,1987-1987,125
CGN08375,1987-1987,135
CGN08376,1987-1987,125
CGN08377,1987-1987,150
CGN08378,1987-1987,140
CGN08379,1987-1987,140
CGN08380,1987-1987,145
CGN08381,1987-1987,145
CGN08382,1987-1987,135
CGN08385,1987-1987,140
CGN08386,1987-1987,140
CGN08387,1987-1987,140
CGN08388,1987-1987,140
CGN08389,1987-1987,140
CGN08390,1987-1987,140
CGN08391,1987-1987,140
CGN08392,1987-1987,145
CGN08393,1987-1987,140
CGN08395,1987-1987,140
CGN08403,1987-1987,110
CGN08405,1987-1987,95
CGN08406,1987-1987,105
CGN08407,1987-1987,90
CGN08408,1987-1987,100
CGN08409,1987-1987,125
CGN08411,1987-1987,80
CGN08412,1987-1987,105
CGN08420,1987-1987,85
CGN08424,1987-1987,95
CGN08425,1987-1987,100
CGN08428,1987-1987,120
CGN08432,1987-1987,100
CGN08433,1987-1987,100
CGN08435,1987-1987,120
CGN08438,1987-1987,105
CGN08439,1987-1987,105
CGN08440,1987-1987,105
CGN08445,1987-1987,110
CGN08447,1987-1987,130
CGN08448,1987-1987,135
CGN08452,1987-1987,130
CGN08453,1987-1987,105
