genotype,plant_height_BLUE
CGN01331,NA
CGN01332,NA
CGN01333,NA
CGN01334,NA
CGN01335,NA
CGN01336,90.7
CGN01337,NA
CGN01338,NA
CGN01339,NA
CGN01340,86.09
CGN01341,NA
CGN01342,NA
CGN01343,NA
CGN01344,NA
CGN01345,NA
CGN01346,NA
CGN01347,NA
CGN01348,NA
CGN01349,89.86
CGN01350,87.62
CGN01351,103
CGN01352,NA
CGN01353,NA
CGN01354,NA
CGN01355,NA
CGN01356,NA
CGN01357,NA
CGN01358,NA
CGN01359,NA
CGN01361,NA
CGN01362,NA
CGN01363,NA
CGN01364,NA
CGN01365,75.42
CGN01366,75.75
CGN01367,NA
CGN01368,NA
CGN01369,NA
CGN01370,NA
CGN01371,NA
CGN01372,80.42
CGN01373,NA
CGN01374,NA
CGN01375,69.4
CGN01376,NA
CGN01377,NA
CGN01378,75.99
CGN01379,NA
CGN01380,NA
CGN01381,NA
CGN01382,NA
CGN01383,NA
CGN01384,71.03
CGN01385,NA
CGN01386,NA
CGN01387,NA
CGN01388,NA
CGN01389,NA
CGN01390,NA
CGN01391,NA
CGN01392,NA
CGN01393,NA
CGN01394,NA
CGN01395,NA
CGN01396,NA
CGN01397,NA
CGN01398,NA
CGN01399,NA
CGN01400,77.68
CGN01401,NA
CGN01402,NA
CGN01403,NA
CGN01404,76.98
CGN01405,NA
CGN01406,NA
CGN01407,76.76
CGN01408,NA
CGN01409,NA
CGN01410,NA
CGN01411,86.76
CGN01412,79.86
CGN01413,NA
CGN01414,NA
CGN01415,78.79
CGN01416,NA
CGN01417,70.82
CGN01418,NA
CGN01419,75.82
CGN01420,NA
CGN01421,NA
CGN01422,NA
CGN01423,NA
CGN01424,69.55
CGN01425,NA
CGN01426,72.84
CGN01427,65.82
CGN01428,71.41
CGN01429,NA
CGN01430,NA
CGN01431,NA
CGN01432,NA
CGN01433,83.94
CGN01434,NA
CGN01436,NA
CGN01437,69.63
CGN01438,NA
CGN01439,NA
CGN01440,NA
CGN01441,NA
CGN01442,NA
CGN01443,NA
CGN01444,NA
CGN01445,84.4
CGN01446,NA
CGN01447,83.94
CGN01448,NA
CGN01449,NA
CGN01450,NA
CGN01548,NA
CGN01616,NA
CGN01617,NA
CGN01618,NA
CGN01619,NA
CGN01620,NA
CGN01621,NA
CGN01622,79.39
CGN01623,NA
CGN01624,78.17
CGN01625,NA
CGN01626,80.93
CGN01627,NA
CGN01628,NA
CGN01629,NA
CGN01630,86.29
CGN01631,87.12
CGN01632,89.79
CGN01633,NA
CGN01634,84.1
CGN01635,NA
CGN01636,NA
CGN01637,NA
CGN01638,NA
CGN01639,NA
CGN01640,NA
CGN01641,NA
CGN01642,NA
CGN01643,88.11
CGN01644,NA
CGN01645,77.2
CGN01646,NA
CGN01647,84.89
CGN01648,87.86
CGN01649,89.79
CGN01650,NA
CGN01651,NA
CGN01652,76.76
CGN01653,NA
CGN01654,NA
CGN01655,NA
CGN01656,NA
CGN01657,80.11
CGN01658,90.87
CGN01659,NA
CGN01660,NA
CGN01661,NA
CGN01662,NA
