accession_match,responsibility,instcode,crop,genus,species,species_authority,accenumb,declatitude,declongitude
ICARDA_wheat/IG 122320,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 122320,NA,NA
ICARDA_wheat/IG 122330,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 122330,NA,NA
ICARDA_wheat/IG 122335,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 122335,NA,NA
ICARDA_wheat/IG 122342,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 122342,NA,NA
NPPC_wheat/C0101424,NPPC,SVK001,Wheat,Triticum,aestivum,NA,C0101424,NA,NA
ICARDA_wheat/IG 41539,ICARDA-Morocco,LBN002,Wheat,Triticum,aestivum,NA,IG 41539,NA,NA
ICARDA_wheat/IG 90213,ICARDA-Morocco,LBN002,Wheat,Triticum,aestivum,NA,IG 90213,NA,NA
ICARDA_wheat/IG 122704,ICARDA-Morocco,LBN002,Wheat,Triticum,aestivum,NA,IG 122704,NA,NA
INIA_wheat/NC027878,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027878,NA,NA
INIA_wheat/NC027637,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027637,NA,NA
INIA_wheat/NC028004,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC028004,NA,NA
INIA_wheat/NC027882,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027882,NA,NA
INIA_wheat/NC027530,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027530,NA,NA
INIA_wheat/NC027545,INIA,ESP004,Wheat,Triticum,aestivum,(L.) Thell.,NC027545,NA,NA
ICARDA_wheat/IG 77562,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77562,NA,NA
ICARDA_wheat/IG 77563,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77563,NA,NA
ICARDA_wheat/IG 77572,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77572,NA,NA
ICARDA_wheat/IG 77574,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77574,NA,NA
ICARDA_wheat/IG 77576,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77576,NA,NA
ICARDA_wheat/IG 77591,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77591,NA,NA
ICARDA_wheat/IG 77594,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77594,NA,NA
ICARDA_wheat/IG 77597,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77597,NA,NA
ICARDA_wheat/IG 77598,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77598,NA,NA
ICARDA_wheat/IG 77603,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77603,NA,NA
ICARDA_wheat/IG 77611,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77611,NA,NA
ICARDA_wheat/IG 77627,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77627,NA,NA
ICARDA_wheat/IG 77635,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77635,NA,NA
ICARDA_wheat/IG 77645,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77645,NA,NA
ICARDA_wheat/IG 77649,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77649,NA,NA
ICARDA_wheat/IG 77650,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77650,NA,NA
ICARDA_wheat/IG 77653,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77653,NA,NA
ICARDA_wheat/IG 77655,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77655,NA,NA
ICARDA_wheat/IG 77658,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77658,NA,NA
ICARDA_wheat/IG 77661,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77661,NA,NA
ICARDA_wheat/IG 77665,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 77665,NA,NA
ICARDA_wheat/IG 81803,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81803,NA,NA
ICARDA_wheat/IG 81805,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81805,NA,NA
ICARDA_wheat/IG 80962,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 80962,NA,NA
ICARDA_wheat/IG 80965,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 80965,NA,NA
ICARDA_wheat/IG 80974,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 80974,NA,NA
ICARDA_wheat/IG 80992,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 80992,NA,NA
ICARDA_wheat/IG 81007,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81007,NA,NA
ICARDA_wheat/IG 81013,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81013,NA,NA
ICARDA_wheat/IG 81025,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81025,NA,NA
ICARDA_wheat/IG 81031,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81031,NA,NA
ICARDA_wheat/IG 81034,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81034,NA,NA
ICARDA_wheat/IG 81041,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81041,NA,NA
ICARDA_wheat/IG 81047,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81047,NA,NA
ICARDA_wheat/IG 81050,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81050,NA,NA
ICARDA_wheat/IG 81068,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81068,NA,NA
ICARDA_wheat/IG 81072,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81072,NA,NA
ICARDA_wheat/IG 81075,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81075,NA,NA
ICARDA_wheat/IG 81076,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81076,NA,NA
ICARDA_wheat/IG 81092,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81092,NA,NA
ICARDA_wheat/IG 81097,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81097,NA,NA
ICARDA_wheat/IG 81119,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81119,NA,NA
ICARDA_wheat/IG 81122,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81122,NA,NA
ICARDA_wheat/IG 81129,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81129,NA,NA
ICARDA_wheat/IG 81132,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81132,NA,NA
ICARDA_wheat/IG 81136,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81136,NA,NA
ICARDA_wheat/IG 81142,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81142,NA,NA
ICARDA_wheat/IG 81151,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81151,NA,NA
ICARDA_wheat/IG 81166,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81166,NA,NA
ICARDA_wheat/IG 81181,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81181,NA,NA
ICARDA_wheat/IG 81211,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81211,NA,NA
ICARDA_wheat/IG 81213,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81213,NA,NA
ICARDA_wheat/IG 81217,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 81217,NA,NA
ICARDA_wheat/IG 93046,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 93046,NA,NA
ICARDA_wheat/IG 93070,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 93070,NA,NA
ICARDA_wheat/IG 95023,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 95023,NA,NA
ICARDA_wheat/IG 95024,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 95024,NA,NA
Agroscope_spelt/TS0172,Agroscope,CHE001,Wheat,Triticum,spelta,NA,TS0172,NA,NA
Agroscope_spelt/TS0076,Agroscope,CHE001,Wheat,Triticum,spelta,NA,TS0076,NA,NA
ICARDA_wheat/IG 42095,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42095,NA,NA
ICARDA_wheat/IG 42101,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42101,NA,NA
ICARDA_wheat/IG 42118,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42118,NA,NA
ICARDA_wheat/IG 42136,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42136,NA,NA
ICARDA_wheat/IG 42144,ICARDA-Morocco,LBN002,Wheat,Triticum,NA,NA,IG 42144,NA,NA
