genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE
NC028053,NA,NA,NA
NC028054,183.82,113.04,24.64
NC028055,NA,NA,NA
NC028056,NA,NA,NA
NC028057,170.32,121.42,24.85
NC028058,178.2,112.88,26.48
NC028059,180.01,99.94,23.77
NC028060,NA,NA,NA
NC028061,163.82,95.45,34.69
NC028062,NA,NA,NA
NC028063,NA,NA,NA
NC028064,NA,NA,NA
NC028065,NA,NA,NA
NC028066,NA,NA,NA
NC028067,NA,NA,NA
NC028068,NA,NA,NA
NC028069,NA,113.8,34.02
NC028352,NA,NA,NA
NC028353,NA,NA,NA
NC028354,NA,NA,NA
NC028355,186.13,121.24,33.34
NC028357,NA,NA,NA
NC028358,NA,NA,NA
NC028359,183.81,110.25,36.66
NC028360,NA,NA,NA
NC028361,NA,104.63,31.95
NC028362,NA,NA,NA
NC028363,NA,NA,NA
NC028364,NA,NA,NA
NC028365,NA,NA,NA
NC028366,NA,NA,NA
NC028367,NA,NA,NA
NC028368,185.66,112.21,NA
NC028369,NA,NA,NA
NC028370,NA,NA,NA
NC028371,NA,NA,NA
NC028372,NA,NA,NA
NC028373,184.25,117.17,35.39
NC028374,NA,NA,NA
NC028375,NA,NA,NA
NC028376,NA,NA,NA
NC028377,NA,NA,NA
NC028378,170.32,140.65,38.44
NC028379,NA,NA,NA
NC028380,180.36,109.83,32.7
NC028382,NA,NA,NA
NC028384,NA,NA,NA
NC028385,NA,NA,NA
NC028387,NA,NA,NA
NC028388,NA,NA,NA
NC028390,NA,NA,NA
NC028391,NA,NA,NA
NC028392,181.16,126.51,36.48
NC028393,NA,NA,NA
NC028394,NA,NA,NA
NC028395,NA,NA,NA
NC028396,NA,NA,NA
NC028397,NA,NA,NA
NC028398,NA,NA,NA
NC028399,NA,NA,NA
NC028400,NA,NA,NA
NC028401,NA,NA,NA
NC028402,NA,NA,NA
NC028403,NA,NA,NA
NC028404,NA,NA,NA
NC028405,NA,NA,NA
NC028406,NA,NA,NA
NC028407,NA,NA,NA
NC028408,NA,NA,NA
NC028409,NA,NA,NA
NC028410,NA,NA,NA
NC028411,NA,NA,NA
NC028413,NA,NA,NA
NC028414,NA,NA,NA
NC028415,NA,NA,NA
NC028417,NA,NA,NA
NC028418,NA,NA,NA
NC028419,NA,NA,NA
NC028420,NA,NA,NA
NC028421,NA,NA,NA
NC028422,NA,NA,NA
NC028423,NA,NA,NA
NC028424,NA,NA,NA
NC028425,NA,NA,NA
NC028426,NA,NA,NA
NC028427,NA,NA,NA
NC028428,NA,NA,NA
NC028429,NA,NA,NA
NC028430,NA,NA,NA
NC028431,NA,NA,NA
NC028432,NA,NA,NA
NC028433,NA,NA,NA
NC028434,NA,NA,NA
NC028435,NA,NA,NA
NC028436,NA,NA,NA
NC028437,NA,NA,NA
NC028438,NA,NA,NA
NC028439,NA,NA,NA
NC028440,NA,NA,NA
NC028441,NA,NA,NA
NC028442,NA,NA,NA
NC028443,NA,NA,NA
NC028444,NA,NA,NA
NC028445,NA,NA,NA
NC028446,NA,NA,NA
NC028447,NA,NA,NA
NC028448,NA,NA,NA
NC028449,NA,NA,NA
NC028450,NA,NA,NA
NC028451,NA,NA,NA
NC028452,NA,NA,NA
NC028453,NA,NA,NA
NC028454,NA,NA,NA
NC028455,NA,NA,NA
NC028456,NA,NA,NA
NC028457,NA,NA,NA
NC028458,NA,NA,NA
NC028459,NA,NA,NA
NC028460,NA,NA,NA
NC028461,NA,NA,NA
NC028462,NA,NA,NA
NC028463,NA,NA,NA
NC028464,NA,NA,NA
NC028465,NA,NA,NA
NC028466,NA,NA,NA
NC028467,NA,NA,NA
NC028468,NA,NA,NA
NC028469,NA,NA,NA
NC028470,NA,NA,NA
NC028471,NA,NA,NA
NC028473,NA,NA,NA
NC028474,NA,NA,NA
NC028475,NA,NA,NA
NC028476,NA,NA,NA
NC028477,NA,NA,NA
NC028478,NA,NA,NA
NC028479,NA,NA,NA
NC028483,NA,NA,NA
NC028484,NA,NA,NA
NC028485,NA,NA,NA
NC028486,NA,NA,NA
NC028487,NA,NA,NA
NC028489,NA,NA,NA
NC028490,NA,NA,NA
NC028491,NA,NA,NA
NC028492,NA,NA,NA
NC028493,NA,NA,NA
NC028494,NA,NA,NA
NC028497,NA,NA,NA
NC028498,NA,NA,NA
NC028499,NA,NA,NA
NC028500,NA,NA,NA
NC028501,NA,NA,NA
NC028502,NA,NA,NA
NC028503,NA,NA,NA
NC028504,NA,NA,NA
NC028505,NA,NA,NA
NC028506,NA,NA,NA
NC028507,NA,NA,NA
NC028508,NA,NA,NA
NC028509,NA,NA,NA
NC028510,NA,NA,NA
NC028511,NA,NA,NA
NC028512,NA,NA,NA
NC028513,NA,NA,NA
NC028514,NA,NA,NA
NC028515,NA,NA,NA
NC028516,NA,NA,NA
NC028517,NA,NA,NA
NC028518,165.89,127.75,46.15
NC028519,NA,NA,NA
NC028520,NA,NA,NA
NC028521,NA,NA,NA
NC028522,NA,NA,NA
NC028523,NA,NA,NA
NC028524,NA,NA,NA
NC028525,NA,NA,NA
NC028526,NA,NA,NA
NC028527,NA,NA,NA
NC028528,NA,NA,NA
NC028529,177.33,130.7,NA
NC028530,NA,NA,NA
NC028531,NA,NA,NA
NC028532,NA,NA,NA
NC028533,NA,NA,NA
NC028534,NA,NA,NA
NC028535,NA,NA,NA
NC028536,NA,NA,NA
NC028537,NA,NA,NA
NC028538,NA,NA,NA
NC028539,NA,NA,NA
NC028540,NA,NA,NA
NC028541,NA,NA,NA
NC028542,NA,NA,NA
NC028544,NA,NA,NA
NC028545,NA,NA,NA
NC028546,NA,NA,NA
NC028547,NA,NA,NA
NC028548,NA,NA,NA
NC028549,NA,NA,NA
NC028550,NA,NA,NA
NC028551,NA,NA,NA
NC028552,NA,NA,NA
NC028553,NA,NA,NA
NC028554,NA,NA,NA
NC028555,NA,NA,NA
NC028556,NA,NA,NA
NC028557,NA,NA,NA
NC028558,NA,NA,NA
NC028559,NA,NA,NA
NC028560,179.56,116.44,40.53
NC028561,NA,NA,NA
NC028562,NA,NA,NA
NC028563,NA,NA,NA
NC028564,NA,NA,NA
NC028565,NA,NA,NA
NC028566,NA,NA,NA
NC028567,NA,NA,NA
NC028568,NA,NA,NA
NC028569,NA,NA,NA
NC028570,NA,NA,NA
NC028571,NA,NA,NA
NC028572,NA,NA,NA
NC028573,NA,NA,NA
NC028574,NA,NA,NA
NC028575,NA,NA,NA
NC028576,NA,NA,NA
NC028577,NA,NA,NA
NC028578,NA,NA,NA
NC028579,NA,NA,NA
NC028580,NA,NA,NA
NC028581,NA,NA,NA
NC028582,177.33,115.2,32.94
NC028583,NA,NA,NA
NC028584,NA,NA,NA
NC028586,NA,NA,NA
NC028587,NA,NA,NA
NC028588,NA,NA,NA
NC028589,NA,NA,NA
NC028590,NA,NA,NA
NC028591,NA,NA,NA
NC028593,NA,NA,NA
NC028594,NA,NA,NA
NC028595,NA,NA,NA
NC028596,NA,NA,NA
NC028597,NA,NA,NA
NC028598,NA,NA,NA
NC028599,NA,NA,NA
NC028600,NA,NA,NA
NC028601,NA,NA,NA
NC028602,NA,NA,NA
NC028603,NA,NA,NA
NC028605,NA,NA,NA
NC028606,NA,NA,NA
NC028607,NA,NA,NA
NC028608,NA,NA,NA
NC028609,NA,NA,NA
NC028610,NA,NA,NA
NC028611,NA,NA,NA
NC028612,NA,NA,NA
NC028613,NA,NA,NA
NC028614,NA,NA,NA
NC028615,NA,NA,NA
NC028616,NA,NA,NA
NC028617,NA,NA,NA
NC028619,NA,NA,NA
NC028620,NA,NA,NA
NC028621,NA,NA,NA
NC028622,NA,NA,NA
NC028624,NA,NA,NA
NC028625,NA,NA,NA
NC028626,NA,NA,NA
NC028627,NA,NA,NA
NC028628,NA,NA,NA
NC028629,NA,NA,NA
NC028630,NA,NA,NA
NC028631,NA,NA,NA
NC028632,NA,NA,NA
NC028633,NA,NA,NA
NC028634,NA,NA,NA
NC028635,NA,NA,NA
NC028636,NA,NA,NA
NC028637,184.54,132.24,37.34
NC028638,NA,NA,NA
NC028639,NA,NA,NA
NC028640,NA,NA,NA
NC028641,NA,NA,NA
NC028644,NA,NA,NA
NC028645,NA,NA,NA
NC028646,NA,NA,NA
NC028647,181.77,111.75,37.21
NC028648,NA,NA,NA
NC028649,NA,NA,NA
NC028650,NA,NA,NA
NC028651,NA,NA,NA
NC028652,NA,NA,NA
NC028653,NA,NA,NA
NC028654,NA,NA,NA
NC028655,NA,NA,NA
NC028656,NA,NA,NA
NC028657,NA,NA,NA
NC028658,185.32,111.53,36.62
NC028659,NA,NA,NA
NC028660,NA,NA,NA
NC028661,NA,NA,NA
NC028662,NA,NA,NA
NC028663,173.36,117.72,39.93
NC028664,177.5,124.1,NA
NC028665,NA,NA,NA
NC028666,NA,NA,NA
NC028667,190.1,114.55,35.57
NC028668,NA,NA,NA
NC028669,NA,NA,NA
NC028670,183.16,118,39.27
NC028671,NA,NA,NA
NC028672,183.33,119.05,37.98
NC028673,162.84,120.6,34.99
NC029441,NA,NA,NA
NC029444,182.2,109.45,36.97
NC029445,NA,NA,NA
NC029446,NA,NA,NA
NC029447,NA,NA,NA
NC029452,NA,NA,NA
NC029453,NA,NA,NA
